avg_delivery_min,avg_order_value,review_cnt,ad_spend,store_category,discount_rate,monthly_revenue
37.3,14785,60,119537,Korean,,1637829
48.2,11914,75,240314,Dessert,,1814826
63.1,22134,68,25500,Chicken,,1990669
29.1,12610,75,114599,Korean,9.1,1795125
49.4,19712,93,85120,Chicken,5.8,3069314
37.4,10018,89,107816,Cafe,,1411048
33.5,18968,48,80334,Korean,,2243790
39.3,22116,65,133967,Pizza,10.8,2461887
35.6,25396,68,559136,Pizza,12.3,3659658
36.1,11556,120,92606,Cafe,15.3,1374233
30.9,23943,101,151542,Chicken,,3639080
21.0,8762,122,591871,Cafe,19.7,1712237
19.6,7830,103,77283,Cafe,9.9,1696712
41.5,7427,102,512465,Cafe,15.2,1383220
32.2,19170,56,120512,Korean,15.7,1954772
29.0,22488,103,499201,Chicken,20.2,4201234
35.1,19574,60,218689,Korean,,2466709
42.9,22330,100,153420,Chicken,,3161435
36.8,24047,76,113862,Chicken,12.3,2801377
28.4,18236,64,72840,Korean,,1995203
47.3,19962,62,127501,Korean,5.8,1506294
50.8,11177,107,246012,Cafe,12.9,1170042
39.9,15989,49,118748,Korean,,2097994
44.7,7480,75,93148,Dessert,3.9,1598634
47.4,12859,105,98186,Cafe,,1453735
46.3,22642,89,265462,Chicken,,2780661
41.1,5000,115,319776,Cafe,9.6,1107361
41.0,16215,56,70370,Korean,,2646184
40.2,13930,82,70289,Dessert,19.4,1569186
24.0,21301,85,162549,Chicken,11.8,3090109
42.0,23720,74,407287,Pizza,,2999996
21.4,21502,59,300150,Korean,9.4,3119953
27.1,19382,79,44080,Chicken,,2997091
48.0,20005,88,97148,Chicken,,2545228
43.4,12528,95,56998,Dessert,15.9,1776708
49.9,9976,135,96881,Cafe,,1563252
32.3,23241,91,433122,Chicken,15.6,3642599
23.5,20278,64,38452,Korean,,2512056
32.6,22496,110,32865,Chicken,6.7,3654310
36.0,10223,102,61846,Cafe,10.8,1703962
35.8,21352,107,151009,Chicken,7.6,3566549
46.3,18157,49,197176,Korean,,1557497
31.4,25269,74,170281,Pizza,0.8,3090128
38.5,12538,90,307366,Dessert,,2313844
25.1,19931,72,29283,Korean,10.5,3141301
39.5,10388,121,310493,Cafe,11.6,1656959
35.0,18111,54,93486,Korean,,2262325
27.5,6977,94,215441,Cafe,12.5,1706694
32.6,22169,78,41627,Chicken,,2736337
33.2,8930,87,120477,Cafe,18.5,1623099
32.3,25483,63,144967,Pizza,,3356130
52.7,30516,78,302503,Pizza,,3492509
34.0,16691,56,33760,Korean,,2251114
32.6,13056,77,122989,Dessert,,2029835
15.0,20671,61,50365,Korean,,3051787
26.1,18245,68,179808,Korean,,2414971
32.4,14845,102,223467,Cafe,11.4,2489572
28.1,21055,92,336039,Chicken,,3127579
48.8,25810,65,78216,Pizza,,2462312
33.4,23003,72,251961,Pizza,,3143177
47.9,21121,80,356457,Chicken,,2935503
35.6,12622,76,32230,Dessert,15.4,2119514
35.4,24116,85,195854,Chicken,,3256024
34.1,9798,118,258346,Cafe,,1425886
35.0,21148,68,97564,Korean,,2633834
52.2,11763,81,45553,Dessert,,1192486
15.0,17170,72,255151,Korean,,3196333
15.0,24760,67,45965,Korean,,2819019
29.6,22986,99,104044,Chicken,6.5,3682239
35.1,10201,74,116209,Dessert,28.8,1242724
41.9,10264,88,212708,Dessert,10.4,1471191
39.7,22643,65,72689,Pizza,0.7,2673924
31.2,14341,79,69396,Dessert,,1386608
45.2,11089,78,129882,Dessert,,1960058
45.3,9318,108,268434,Cafe,13.4,1214655
36.8,21841,105,748036,Chicken,16.9,4155754
44.6,26829,71,35928,Pizza,,3061400
37.7,6883,116,154434,Cafe,9.2,1198574
29.4,19311,92,50313,Chicken,,2412032
42.0,18561,66,271114,Korean,,2870304
36.1,26502,76,56637,Pizza,4.1,2820101
35.0,18831,60,69949,Korean,10.6,2504294
49.7,9976,83,74894,Dessert,7.5,1364006
15.0,19694,68,112903,Korean,10.2,3291155
20.8,16140,66,155407,Korean,,2629498
23.1,23696,80,176700,Pizza,13.3,3432742
31.4,15640,62,119448,Korean,11.1,2114679
32.5,21253,63,41412,Korean,15.3,2483881
19.9,10584,112,214803,Cafe,13.2,2309111
25.1,26512,78,115022,Pizza,,3179514
26.4,21118,55,303955,Korean,3.3,3429557
59.6,29032,97,68122,Chicken,,2741963
53.0,20727,61,33304,Pizza,10.0,2312684
30.9,10154,87,116778,Dessert,11.0,1818348
31.4,7460,124,338409,Cafe,18.3,1473387
23.5,15873,57,136489,Korean,,2194765
15.9,15306,58,102284,Korean,20.1,2259604
33.8,17251,51,59812,Korean,,1886634
25.0,14958,60,489657,Korean,16.5,2473273
34.2,9838,98,52658,Cafe,,1664315
19.0,18129,67,67167,Korean,0.0,2579968
27.4,10203,113,189335,Cafe,18.5,1719846
36.5,10269,104,27185,Cafe,,1282077
38.7,10508,111,332674,Cafe,7.5,2086317
39.2,17066,53,197719,Korean,19.0,2190810
21.8,30303,69,246380,Pizza,,3590956
43.5,9586,112,187539,Cafe,9.5,1419925
27.0,20344,70,105488,Pizza,15.1,3131828
41.3,15494,67,51263,Korean,,1738882
34.9,13649,74,107279,Korean,11.3,2439926
21.2,12043,80,54998,Dessert,,2178041
31.8,21695,90,177047,Chicken,,3393138
38.7,20829,89,228815,Chicken,,3125657
41.1,27027,84,391090,Chicken,18.8,3156782
33.6,10372,97,161565,Cafe,,1714604
50.3,13815,79,251427,Dessert,,2008003
45.1,19672,87,94611,Chicken,5.4,2523820
32.4,9502,73,81849,Dessert,,1875541
42.5,18092,46,175288,Korean,,2436600
54.3,9433,120,88086,Cafe,,1427287
54.6,5000,120,148835,Cafe,14.0,1115848
22.7,17549,60,51343,Korean,20.8,2418162
25.7,18035,55,59275,Korean,,2315036
49.8,21462,85,199501,Chicken,,2434144
24.4,9967,65,243921,Dessert,11.7,2271923
21.8,7651,108,54542,Cafe,14.1,1626995
30.1,11558,68,205200,Dessert,,1939927
39.2,25227,63,78359,Pizza,18.3,2464473
34.0,23512,82,121595,Chicken,7.2,3481743
28.5,27702,66,372802,Pizza,,3804520
28.3,17264,71,228945,Korean,14.7,3047899
27.9,16860,64,226827,Korean,9.6,2340510
26.2,26094,60,552539,Pizza,17.0,3483281
57.8,26527,64,68333,Pizza,,2316180
38.0,16914,69,54532,Korean,16.7,1936842
43.9,10976,112,67343,Cafe,,1634226
30.1,11449,115,97895,Cafe,,1506441
33.1,28229,61,18244,Pizza,,3149386
27.9,13446,107,101651,Cafe,8.2,2473233
15.0,19834,81,77621,Chicken,,3144505
21.2,22035,91,224640,Chicken,15.8,3107801
16.9,22028,80,159083,Chicken,,3273293
15.0,8755,118,74213,Cafe,,1937864
23.0,23377,67,192378,Pizza,,3400213
48.2,18286,102,214027,Chicken,8.6,2947543
34.6,18232,53,64888,Korean,17.8,2089562
47.9,16079,53,80889,Korean,,1711227
39.1,25215,56,20231,Pizza,12.7,2836769
42.8,23015,68,50147,Pizza,,2944145
26.0,15251,44,66255,Korean,9.6,2134622
40.2,18586,72,127335,Korean,,2615400
42.3,9377,116,56328,Cafe,,1199853
29.2,19448,58,79577,Korean,,2129943
40.6,30465,59,45025,Pizza,10.7,2922290
40.7,22693,92,137604,Chicken,,2306258
29.5,19213,62,168690,Korean,,2698210
23.8,9306,76,165568,Dessert,10.8,2105682
23.2,14783,70,121193,Korean,,2055285
35.9,25957,92,34975,Chicken,0.9,3417655
38.3,15691,51,73078,Korean,,1569249
27.1,15390,60,86630,Korean,21.1,2244535
35.3,17902,48,86908,Korean,,2300974
40.7,17775,78,127418,Korean,,2963666
41.2,15744,57,375375,Korean,8.9,2836000
50.5,17238,62,229791,Korean,,2004210
47.8,12073,111,54461,Cafe,,1095580
25.0,6985,108,206482,Cafe,,1426528
51.8,18516,68,200283,Chicken,,2083773
29.7,24356,88,62969,Chicken,,3129939
45.4,10231,102,236651,Cafe,13.4,1384605
35.7,23449,75,105551,Pizza,7.6,3214787
30.9,21045,60,38843,Pizza,,2570767
16.9,16138,64,172717,Korean,,2233848
33.3,17863,66,142745,Korean,,2308079
19.4,20914,69,100018,Korean,,2889852
44.7,15409,59,116458,Korean,,1730643
50.2,8789,110,67506,Cafe,4.7,1012097
27.0,23688,88,195507,Chicken,,3660926
38.0,12047,54,115900,Korean,,1660681
27.7,24584,105,137092,Chicken,,3708013
28.7,6044,112,159685,Cafe,11.2,776139
42.7,18830,65,47647,Korean,16.7,1748792
34.6,25617,69,58678,Pizza,11.0,3102259
52.4,20711,52,20482,Korean,,1891784
30.2,13377,80,188535,Dessert,3.0,2057232
45.0,12057,65,45501,Korean,0.0,1473809
36.0,23038,81,133426,Pizza,,2649299
43.0,12346,71,161464,Dessert,,1757293
30.5,11513,80,194294,Dessert,14.9,1987312
34.5,26194,76,45800,Pizza,,3468237
33.8,26973,66,113905,Pizza,,3212118
26.6,10521,103,456558,Cafe,9.2,2038866
41.6,24464,66,472928,Pizza,,4060693
41.5,13384,54,264370,Korean,,1960865
40.9,7861,120,157195,Cafe,22.3,1134607
50.4,10041,105,53700,Cafe,10.1,1441177
49.5,22274,73,213234,Pizza,,2618514
31.3,23578,100,105750,Chicken,3.0,3243900
38.7,24271,90,187901,Chicken,,2929146
28.8,9317,92,72328,Cafe,,1533866
35.2,10341,80,104496,Korean,,2027176
29.0,14805,53,136840,Korean,,2185539
51.2,26715,77,146133,Chicken,,3713089
38.6,20634,96,178122,Chicken,,3717172
32.8,13040,56,75500,Korean,,2042959
46.9,25088,79,40971,Chicken,6.2,3005537
15.0,22033,94,440240,Chicken,9.6,3809694
15.0,24762,98,879097,Chicken,9.6,5214861
43.0,22692,83,171645,Chicken,8.5,3241056
35.6,10146,100,41608,Cafe,3.6,1615483
37.5,22908,80,64647,Chicken,21.6,2823306
21.7,13744,70,180330,Dessert,13.8,2330199
34.8,17694,83,350859,Dessert,10.6,2777320
55.0,24428,99,45476,Chicken,,2564772
43.2,18049,78,108638,Chicken,,2856127
36.7,10117,89,140364,Cafe,,1651258
30.6,27854,67,239644,Pizza,,3821031
31.1,12007,103,91160,Cafe,,2190052
15.0,23933,80,34344,Pizza,,3521981
37.6,11912,114,197246,Cafe,16.5,1915479
43.5,11319,111,295104,Cafe,,1636077
19.2,28431,85,112327,Chicken,10.7,3743627
28.4,23125,73,165950,Pizza,,3380390
23.4,16731,63,82097,Korean,,2256613
25.3,8235,109,61000,Cafe,14.3,1077025
35.5,23774,68,272771,Pizza,,3493657
15.0,15775,55,163610,Korean,,2691109
41.1,5000,114,177645,Cafe,7.2,1372281
42.5,16913,62,399089,Korean,9.9,2508445
32.5,25923,70,51605,Pizza,9.0,2515671
15.0,16767,65,77159,Korean,3.3,2339871
25.0,16838,74,136161,Dessert,,1941421
47.3,18033,55,76404,Korean,,1706003
15.0,15228,77,224528,Dessert,19.6,2407887
31.5,25654,62,103293,Pizza,,2808433
23.2,11066,108,54243,Cafe,0.0,1823525
43.0,25698,56,126483,Pizza,15.8,2672939
28.2,28422,66,137519,Pizza,,2708118
39.0,12140,75,253468,Dessert,,1587797
40.7,19240,54,164351,Korean,,1972533
53.4,9916,109,173540,Cafe,10.8,1529978
33.0,17279,53,155047,Korean,,1990719
38.8,10012,107,103225,Cafe,,1777349
20.1,23586,78,67661,Korean,,3335614
46.9,8324,107,151194,Cafe,11.9,1741679
27.4,10049,127,91927,Cafe,18.5,1331362
29.4,25144,89,463752,Chicken,,3891144
34.8,11851,102,351158,Cafe,,1879565
19.4,25029,74,199091,Pizza,,2931079
37.3,19042,70,162433,Pizza,18.7,2752412
44.7,23292,93,111846,Chicken,,3287200
37.9,5000,107,43754,Cafe,,1364984
19.1,15675,71,100943,Dessert,6.2,2190842
33.8,18424,68,130140,Korean,,2507615
42.4,20499,61,144179,Korean,,1815590
16.2,15745,64,174709,Korean,6.3,2342148
24.3,5119,124,250775,Cafe,,1257772
43.8,22652,100,68977,Chicken,,2982930
37.7,24916,69,69479,Pizza,,2802949
39.1,7771,106,383054,Cafe,11.7,1446257
53.6,22212,84,222355,Chicken,4.2,2788383
39.7,18919,81,87784,Dessert,11.9,2489231
41.6,27086,68,110137,Pizza,,3068483
62.1,20624,70,110534,Korean,,1814164
32.9,24110,107,123070,Chicken,,2962033
27.0,25699,92,175149,Chicken,13.5,3862431
39.3,17525,68,911860,Korean,,3424995
39.4,12863,72,139672,Korean,,1969480
29.7,11529,82,203888,Dessert,12.0,1991054
24.7,24029,83,31134,Chicken,,3740697
58.1,19575,94,81416,Chicken,,2242484
38.3,24559,57,320712,Pizza,,3925271
27.7,7271,99,165562,Cafe,,1550842
44.2,15755,83,3583,Dessert,,1958075
33.9,26874,82,205760,Pizza,,3081787
32.5,23629,75,556698,Chicken,11.5,4444269
40.6,23554,84,24307,Chicken,9.6,2911708
22.1,11907,86,404642,Dessert,,2325928
38.5,9494,133,13065,Cafe,,1705729
54.1,9037,77,254141,Dessert,,1599531
39.7,12534,50,119173,Korean,,2092937
31.2,25375,64,18311,Pizza,,2995657
29.9,9810,93,171469,Cafe,17.0,1275971
30.9,21023,51,301317,Korean,,2498278
32.5,12928,97,160549,Cafe,20.2,1874810
31.2,12925,100,191589,Cafe,16.5,2002370
44.2,15505,52,86328,Korean,,2128315
17.7,21119,78,27069,Chicken,,3124045
43.6,26201,74,208718,Pizza,14.0,3562179
31.2,28330,88,486528,Chicken,,3899490
38.8,25700,82,296236,Chicken,,3886099
23.7,24798,73,24464,Chicken,,2571659
48.3,21031,88,35715,Chicken,,2299199
47.5,9792,75,60990,Dessert,10.9,1616149
44.6,26972,69,33553,Pizza,,3545098
19.9,15248,52,124318,Korean,18.2,2517745
43.3,11404,76,164387,Dessert,0.9,2146585
39.0,24713,63,38217,Pizza,9.7,2632133
18.9,25982,80,223452,Chicken,9.1,4338951
34.8,24113,60,194100,Pizza,,2951740
38.6,11902,62,77398,Korean,11.7,1861196
40.6,13261,81,104530,Dessert,,1649922
36.8,7252,109,25220,Cafe,16.0,1288510
37.9,9107,117,91990,Cafe,9.5,1342963
49.7,17783,52,120711,Korean,,1835372
47.3,11316,94,137344,Dessert,,1703911
15.0,19976,77,162486,Korean,,3275857
31.8,14168,64,145895,Korean,,1903285
33.4,16707,72,97127,Korean,7.1,1987976
17.5,26710,66,150874,Pizza,,3892483
35.9,16465,61,267499,Korean,,2033730
47.5,7978,77,111174,Dessert,0.0,1067814
24.1,10671,122,154712,Cafe,,2109492
38.4,20808,68,103395,Korean,,1996474
25.8,17888,66,71528,Korean,,2424415
28.3,13098,74,182326,Korean,,2439462
49.8,10765,102,76962,Cafe,,1811344
29.6,20850,64,163434,Pizza,11.9,3161425
39.6,18772,64,122743,Korean,,2065007
16.3,22781,69,94099,Pizza,,3337827
53.6,15100,69,92294,Korean,8.7,1386337
41.0,23895,89,79918,Pizza,5.4,2533217
33.2,11542,85,32164,Dessert,,1664676
40.8,23389,72,163009,Pizza,,2998876
20.9,10472,120,144421,Cafe,,2200113
46.8,23885,61,236803,Pizza,,2720213
31.8,20450,63,78439,Korean,,2510862
33.0,18703,52,546644,Korean,,2839287
30.1,16256,58,88562,Korean,6.8,2285249
29.2,6835,112,59585,Cafe,,1356581
41.9,20881,69,54193,Pizza,18.4,1922700
37.6,9727,103,29975,Cafe,11.2,1316147
41.5,24114,65,408950,Pizza,,3604925
34.9,12070,74,359368,Korean,17.6,2207049
40.1,23661,73,194045,Pizza,,3178334
30.8,15747,52,58593,Korean,,2022365
57.3,21939,66,511070,Korean,,2342771
19.3,5000,99,90569,Cafe,,1497351
47.6,8397,75,96764,Dessert,8.4,2003111
48.7,11775,114,378910,Cafe,12.2,1977767
26.5,21392,72,203287,Korean,4.3,2746662
57.3,7138,115,698108,Cafe,10.8,1189541
45.0,16420,55,146419,Korean,8.2,2091971
44.7,13541,66,87345,Dessert,9.6,1207001
35.3,5000,110,73556,Cafe,7.5,1474588
32.8,13347,68,27382,Korean,10.3,1993518
32.9,17298,60,96026,Korean,,2338305
38.9,21875,54,299815,Korean,11.3,3147819
49.0,10911,91,193748,Dessert,0.8,1771897
36.8,22252,89,121965,Chicken,,3498211
25.9,27834,60,54138,Pizza,2.9,3073707
43.2,14267,109,143882,Cafe,13.5,1646631
44.2,7558,127,269817,Cafe,15.0,979710
41.5,17958,63,169367,Korean,,2047665
42.5,16555,80,137123,Dessert,7.3,2374876
32.3,18195,102,63429,Chicken,,2723700
25.7,11569,120,240144,Cafe,,2124370
26.3,6454,111,9796,Cafe,5.2,1522206
18.6,9256,106,163003,Cafe,16.5,2219292
37.4,11393,73,937999,Dessert,16.9,2389650
34.2,15605,64,35902,Korean,,2225616
30.6,6542,107,98928,Cafe,8.3,1429444
15.0,22691,91,119243,Chicken,19.1,3637157
22.5,24489,89,82883,Chicken,,3780841
46.2,17676,46,274951,Korean,15.9,2184198
28.4,18175,53,175117,Korean,8.9,2092253
38.6,19428,55,135549,Korean,,2220386
21.1,19571,87,227082,Chicken,0.0,3413853
49.4,23849,83,121619,Chicken,,3149434
33.6,11048,107,1527493,Cafe,,2776211
37.9,15509,109,135445,Cafe,,1898397
58.3,21060,84,140291,Chicken,22.5,2416661
50.2,20855,91,30542,Chicken,5.0,2704625
31.9,19922,72,77690,Korean,,2182820
29.1,11048,96,300484,Cafe,,1724225
31.7,20662,90,41228,Chicken,,2277315
40.1,16992,68,21358,Korean,18.2,2046520
33.9,23353,78,123143,Chicken,20.9,3154817
31.0,19931,90,359275,Chicken,7.8,3430699
49.7,16974,65,124138,Korean,7.7,1939335
33.9,9224,122,91706,Cafe,5.1,1883387
58.0,11490,111,27132,Cafe,,819432
35.9,7489,125,172310,Cafe,18.7,1552192
52.9,5000,94,203672,Cafe,,1130098
38.6,5000,120,28850,Cafe,,1150653
44.6,18851,93,297412,Chicken,4.2,2839957
27.8,21717,76,221417,Pizza,,3615539
26.5,8613,89,296885,Cafe,,1342559
39.6,19028,81,191390,Chicken,0.0,2875910
44.9,7243,105,202439,Cafe,10.1,1289399
35.4,20065,76,182011,Chicken,,2778413
22.1,7899,99,240392,Cafe,,1762402
21.4,28306,75,28008,Pizza,,3427815
20.7,13655,69,36113,Dessert,,1859284
17.3,12040,92,66599,Dessert,5.5,2378322
36.1,7847,99,108163,Cafe,,1284806
46.3,7917,119,163694,Cafe,,1303505
34.9,25819,61,155592,Pizza,,2960427
15.0,23460,102,293294,Chicken,,3922961
33.1,22731,74,300753,Pizza,,3147031
33.4,22091,100,59715,Chicken,,2556013
56.0,12921,60,145235,Korean,18.5,2222900
20.4,18529,54,60900,Korean,,2707048
31.1,26905,78,103223,Pizza,11.8,3121662
52.1,17300,51,155233,Korean,,2153465
39.5,26541,91,7850,Chicken,,3516808
40.6,19797,72,825911,Chicken,,3875112
36.1,18544,59,188787,Korean,,1779367
38.3,21910,84,74510,Chicken,,2565672
42.8,24749,82,560813,Pizza,0.0,3102715
26.9,17714,68,90881,Korean,10.6,2145193
43.8,25268,70,133421,Pizza,17.1,3066976
21.3,27120,69,81272,Pizza,,3393290
38.3,25444,102,449927,Chicken,4.2,3974673
36.8,17994,41,110333,Korean,,1713942
28.8,11038,123,135244,Cafe,7.9,1564043
34.8,16246,65,314353,Korean,,2652100
28.8,23915,86,191637,Chicken,,4115138
24.3,10095,70,114894,Dessert,,1837646
31.5,14727,83,291723,Dessert,,2149462
24.0,30527,54,914409,Pizza,,5372677
38.2,21695,92,154690,Chicken,,2892455
23.5,5000,107,131749,Cafe,,1758138
42.1,7630,113,137551,Cafe,8.8,1679106
23.2,25080,95,342351,Chicken,0.4,3853857
29.3,10383,105,74302,Cafe,,2015351
28.8,18622,50,96047,Korean,,1783522
48.3,20522,56,35077,Korean,,2204613
38.3,10211,114,46544,Cafe,,1609368
32.9,21044,67,79301,Korean,,2970835
40.0,20299,68,114748,Korean,,2156092
15.0,28804,73,494110,Pizza,,4645964
34.6,12897,88,184249,Dessert,,1498438
55.0,11263,107,57849,Cafe,,1277158
36.3,24232,71,67028,Pizza,,2528780
35.7,10496,62,360427,Dessert,19.4,1950083
40.5,22267,61,295533,Korean,,3129375
44.0,22541,97,122733,Chicken,10.6,2904995
15.0,24012,106,84223,Chicken,,3342499
18.2,18309,76,295137,Korean,,2489741
37.1,23534,69,54208,Pizza,,2332060
27.9,22027,72,164205,Chicken,27.3,2771319
48.1,25590,100,739237,Chicken,,3919882
31.8,19388,50,141426,Korean,,2145913
15.7,13721,53,64522,Korean,,1946453
22.3,11462,100,166632,Dessert,13.6,2090934
15.0,22456,70,82392,Korean,10.9,3165683
32.7,17466,69,39338,Korean,,2277386
33.1,17499,72,210255,Chicken,10.6,2173583
30.8,26733,85,293465,Chicken,5.3,4121560
45.8,10706,118,93575,Cafe,,1532184
47.0,21825,91,88739,Chicken,,3205958
33.3,17071,49,55603,Korean,15.6,2542566
15.0,20706,62,106436,Korean,,2665032
41.2,23645,68,76523,Pizza,,2725922
40.6,11871,95,53446,Cafe,,1374619
38.1,10355,98,545240,Cafe,2.7,2189273
44.8,9612,98,174284,Cafe,11.0,1244548
23.4,25364,62,189693,Pizza,,3185219
55.1,17563,56,243280,Korean,,1969455
25.4,24614,89,222365,Chicken,4.8,4123470
42.5,6837,127,86229,Cafe,,1447199
18.1,17945,79,149237,Chicken,6.6,3460145
25.7,26536,72,96763,Pizza,,3572003
50.2,23578,98,170419,Chicken,,2623138
32.4,26201,74,157724,Pizza,,3504380
43.4,26019,68,88355,Pizza,,2839753
37.4,8199,118,41432,Cafe,11.1,1472229
34.0,13969,88,134893,Dessert,,1578753
48.6,8886,118,101909,Cafe,3.8,1500362
32.6,23782,64,26448,Pizza,,3026547
17.2,21220,93,180120,Chicken,,3225860
27.0,27052,86,259762,Chicken,14.4,4032440
40.5,5000,98,907031,Cafe,12.7,1493344
39.0,19249,51,87754,Korean,14.3,2039437
19.3,17802,98,77985,Chicken,14.8,2899187
27.8,11729,80,49400,Dessert,6.4,1897672
29.2,7916,99,141798,Cafe,,1238886
31.3,12787,53,141083,Korean,,2086051
21.2,22973,87,62706,Chicken,,3900780
28.7,17050,50,104329,Korean,,2232321
27.7,12752,72,24645,Korean,,2097106
42.7,14099,77,251789,Dessert,5.8,1733174
43.1,25588,92,64777,Chicken,,2918075
33.5,25725,82,116719,Chicken,,2630270
31.1,9897,104,38326,Cafe,,1571624
36.4,18115,56,75310,Korean,,1998216
26.8,21320,73,95949,Korean,,2430455
23.5,13206,109,118921,Cafe,21.5,1969804
25.6,11834,110,176140,Cafe,,2007897
28.7,9646,84,379461,Dessert,12.0,2387355
23.4,9503,105,215651,Cafe,,1562087
36.6,23099,92,259102,Chicken,10.9,3648796
42.3,20476,79,381601,Pizza,18.9,2324019
19.1,13173,78,189286,Dessert,9.4,2328793
35.3,30682,95,116527,Pizza,24.4,2714862
