area_m2,floor,distance_m,age_years,rooms,maintenance_10k,parking,elevator,district,rent_10k
61.3,20,1387,16.8,3,12.4,1,1,0,80.2
18.5,15,490,14.7,1,8.9,0,0,0,27.4
16.4,7,1078,5.5,1,10.6,0,1,3,34.7
19.6,19,836,17.4,1,11.2,0,1,3,48.6
57.8,18,1919,6.0,3,17.6,1,1,3,90.9
71.3,25,820,7.8,4,15.3,1,1,2,118.4
32.5,4,1353,4.4,2,11.2,0,1,3,59.9
74.6,11,415,22.4,4,15.3,1,1,0,97.7
19.9,24,174,17.1,1,8.0,1,0,4,54.1
71.3,13,1189,16.8,4,16.0,1,1,2,115.3
80.0,24,170,22.0,4,21.1,1,1,4,138.1
69.3,1,1037,34.5,4,14.2,1,0,0,74.4
64.2,1,270,0.0,4,11.0,0,0,2,107.8
73.8,20,764,6.1,4,14.6,1,1,3,121.7
18.8,9,1942,7.1,1,12.1,0,1,2,57.4
29.9,14,984,5.2,2,11.3,1,1,2,64.5
24.6,11,542,3.4,1,6.3,0,0,0,35.8
50.8,11,849,9.6,3,10.7,0,0,1,82.8
67.4,24,426,2.3,4,12.7,1,1,1,102.7
59.5,3,2423,14.7,3,15.8,1,0,1,76.1
74.7,20,361,12.4,4,16.8,1,1,3,138.3
26.7,23,585,15.8,1,14.2,1,1,3,57.4
66.7,17,926,16.1,4,16.6,1,1,3,98.1
29.3,10,808,16.8,2,12.4,0,1,1,45.5
34.7,5,870,9.0,2,13.7,1,1,4,84.1
65.0,18,433,29.0,4,16.0,1,1,0,96.0
83.6,12,526,13.9,5,18.6,1,1,1,122.1
58.2,4,1153,0.0,3,13.8,0,1,0,78.1
19.8,9,1116,4.0,1,10.3,1,1,1,38.0
58.5,25,821,0.0,3,15.7,1,1,4,115.2
18.9,7,1463,12.1,1,11.8,1,0,1,39.6
77.0,5,1183,11.0,4,16.7,1,1,4,130.2
65.0,18,1094,8.3,4,15.7,1,1,2,109.7
27.9,5,167,28.1,2,10.9,0,1,3,46.9
22.3,23,814,16.4,1,11.3,1,1,2,38.0
28.7,22,717,17.8,2,10.0,1,1,1,57.3
83.6,25,1585,4.6,5,19.1,1,1,3,127.1
47.6,23,562,4.0,3,14.5,1,1,4,100.8
70.1,7,677,12.3,4,11.9,0,1,1,102.4
59.9,6,267,13.4,3,13.5,0,0,3,87.2
55.5,9,310,0.0,3,12.0,1,1,1,90.7
26.0,12,1588,10.6,1,7.5,0,1,3,43.7
81.3,22,868,12.1,5,18.5,1,1,3,136.3
36.8,19,1944,10.3,2,13.2,1,1,2,69.7
55.9,17,555,5.5,3,16.2,1,1,3,106.4
64.3,22,200,7.7,4,16.0,1,1,1,113.8
60.8,17,499,10.6,3,9.5,0,1,0,81.2
80.9,10,438,12.7,4,12.8,1,0,0,103.8
26.2,11,1007,16.8,1,13.4,1,0,2,39.9
51.1,13,980,20.6,3,13.3,1,1,4,92.7
43.9,3,897,9.6,2,11.9,1,0,0,62.1
48.7,19,2332,8.4,3,12.5,1,1,2,65.5
24.2,17,1409,15.5,1,9.4,0,0,3,33.9
25.3,19,327,16.9,1,9.2,1,1,1,56.9
35.2,14,1209,8.5,2,13.7,1,1,3,69.5
37.0,20,646,18.3,2,12.0,1,1,1,53.0
45.5,24,544,19.8,3,13.8,1,1,4,107.1
58.2,15,1523,22.3,3,13.0,1,1,2,82.6
59.8,12,311,26.2,3,13.4,0,0,2,86.4
44.4,3,1156,5.1,2,7.6,0,0,0,57.8
44.2,20,1039,12.1,2,12.8,1,0,2,67.4
31.0,23,306,12.1,2,16.5,0,1,4,71.5
56.6,18,162,11.2,3,14.9,0,1,0,103.3
37.9,22,596,6.8,2,13.3,0,1,3,80.8
18.5,22,1300,0.1,1,9.0,0,1,2,48.5
44.9,20,812,12.7,2,9.4,0,1,3,77.3
48.7,13,1555,5.9,3,11.0,0,1,3,74.8
31.6,3,774,12.7,2,11.8,0,0,2,59.7
55.5,1,1622,5.6,3,11.3,1,0,1,72.4
55.0,6,404,3.2,3,13.8,1,1,3,103.5
64.4,11,895,13.9,4,14.1,1,1,0,83.9
60.7,19,472,13.2,3,13.3,1,1,2,85.8
61.0,12,583,16.6,3,11.8,1,1,0,88.2
37.8,1,675,29.5,2,11.7,1,0,3,51.6
70.3,6,810,14.2,4,15.3,1,1,3,98.9
53.9,25,363,15.9,3,11.8,1,1,0,89.0
45.8,25,867,3.4,3,12.6,1,1,3,105.5
59.2,10,652,1.7,3,14.7,1,0,2,106.1
40.9,21,209,24.7,2,13.0,1,1,3,75.4
51.4,18,144,4.6,3,11.3,1,0,0,88.6
66.8,24,1304,3.6,4,15.8,1,1,0,108.8
77.2,23,563,11.7,4,16.9,1,1,2,129.3
79.6,16,192,11.3,4,15.7,1,1,0,118.0
50.8,10,1793,4.8,3,13.0,1,0,1,76.0
51.9,16,927,9.6,3,14.7,1,0,3,90.9
71.2,8,795,21.8,4,13.8,1,0,0,96.6
37.7,9,339,5.6,2,11.0,0,0,3,70.2
73.8,16,207,0.9,4,13.1,0,1,0,114.2
50.1,15,718,19.5,3,11.2,1,1,0,82.6
24.0,15,623,15.9,1,11.2,0,1,2,51.8
21.0,10,271,7.0,1,10.6,1,0,3,57.7
74.1,11,263,0.0,4,14.2,0,0,0,121.6
19.8,1,253,6.0,1,9.0,1,0,1,41.4
35.4,16,246,11.6,2,13.4,1,1,4,94.1
39.1,15,394,21.3,2,14.0,0,1,4,78.2
27.9,24,796,3.7,2,11.9,0,1,2,82.1
37.7,13,889,11.3,2,14.1,1,1,2,60.1
67.2,12,614,17.4,4,15.2,1,1,1,97.9
17.0,2,695,0.0,1,11.8,1,0,3,50.7
73.1,5,918,20.3,4,17.1,1,1,2,109.2
75.1,9,116,2.5,4,17.5,1,1,1,138.6
41.7,10,734,14.7,2,11.2,0,1,0,52.5
26.6,10,1450,14.0,1,8.1,0,0,0,33.8
57.5,10,552,20.7,3,13.5,1,0,4,103.2
24.3,20,1269,16.4,1,11.1,0,1,2,44.6
41.2,4,560,0.0,2,18.0,1,1,2,73.5
82.1,9,959,5.7,5,15.9,1,0,2,134.7
84.7,5,785,13.1,5,18.8,1,1,3,140.9
69.3,8,249,10.4,4,13.0,1,0,0,107.9
37.5,18,298,15.8,2,10.3,1,1,0,64.8
63.4,2,1622,18.3,4,16.5,1,0,1,87.7
64.7,9,1101,16.9,4,14.4,1,1,2,98.9
42.8,1,587,10.3,2,11.6,1,0,3,77.0
60.2,24,533,0.0,3,12.3,1,1,2,106.0
16.7,19,340,8.4,1,6.3,0,0,2,35.2
30.4,7,831,15.3,2,7.5,0,0,4,51.0
52.2,5,363,3.3,3,11.9,0,0,0,73.9
27.3,3,483,17.1,2,15.0,1,0,2,55.2
27.4,12,393,19.3,2,9.5,0,1,2,52.7
73.7,19,1056,13.0,4,13.7,1,1,2,113.4
84.3,15,570,0.0,5,20.8,1,1,4,153.9
54.4,23,699,1.8,3,11.5,0,1,1,84.6
73.9,9,253,27.1,4,20.3,1,1,4,132.8
84.3,7,391,7.6,5,16.9,1,1,1,129.9
25.8,12,710,0.0,1,8.7,1,0,2,50.2
46.9,6,170,21.9,3,12.0,1,0,2,83.1
43.1,25,539,12.1,2,15.6,1,1,4,76.7
21.5,5,628,20.8,1,7.9,0,0,2,27.0
68.1,12,229,14.2,4,13.6,0,1,1,111.7
45.9,14,1233,15.7,3,11.9,1,1,0,56.8
48.4,2,804,14.9,3,10.8,1,1,1,82.1
26.4,12,567,17.6,1,11.8,1,0,4,66.3
28.5,12,370,30.2,2,5.9,0,1,0,36.5
78.6,7,165,19.8,4,17.7,1,1,4,134.0
19.1,4,1171,0.0,1,11.6,1,1,2,53.4
32.1,2,451,15.6,2,10.1,0,1,0,45.4
36.2,1,200,21.1,2,10.5,0,0,1,59.3
49.8,13,362,21.6,3,12.8,0,1,2,75.6
56.5,3,863,8.6,3,16.2,1,1,1,84.3
50.0,24,748,21.3,3,13.4,0,1,0,65.2
21.8,7,272,19.4,1,11.9,1,1,3,54.1
32.8,17,1309,32.6,2,14.1,1,1,3,61.3
74.2,17,198,6.0,4,17.0,1,1,0,117.6
60.0,13,1487,7.9,3,12.5,1,0,1,76.2
60.8,23,726,9.6,3,12.2,1,1,1,87.8
62.2,3,477,8.1,3,15.5,1,0,3,103.7
68.6,6,527,4.9,4,16.5,1,0,3,127.1
20.0,7,670,0.0,1,10.7,0,0,3,49.8
41.3,4,908,8.5,2,11.2,1,0,4,73.6
53.2,8,142,15.0,3,12.1,1,0,3,99.7
39.4,8,353,8.1,2,11.9,0,1,1,65.0
74.3,20,655,27.5,4,15.5,1,1,0,98.1
49.3,8,1342,12.1,3,9.8,1,0,3,72.8
69.0,22,1309,22.3,4,18.1,1,1,4,122.3
74.8,20,1687,14.1,4,14.7,1,1,4,102.9
50.8,23,1268,18.6,3,11.7,1,1,1,81.8
78.8,3,333,14.2,4,19.2,1,1,1,114.7
56.5,25,626,23.0,3,15.8,0,1,0,75.0
74.7,16,1273,12.4,4,13.5,1,1,0,114.1
39.5,25,1193,16.0,2,12.0,1,1,2,62.0
50.4,9,546,14.9,3,14.0,1,1,2,81.5
52.7,24,891,9.7,3,15.8,0,1,1,82.0
23.2,15,449,15.2,1,9.2,1,1,1,48.2
43.5,2,186,29.9,2,12.5,0,1,4,71.5
79.3,11,581,9.8,4,20.2,1,1,2,113.2
59.5,4,556,15.4,3,15.6,1,1,4,97.8
28.2,24,433,22.1,2,13.8,1,1,4,78.3
39.4,8,911,21.1,2,9.4,1,1,1,57.6
29.2,6,533,12.1,2,9.5,0,1,1,54.3
17.7,14,827,0.0,1,8.2,1,1,4,56.6
80.0,11,1043,16.1,4,15.2,0,1,3,110.2
46.9,3,2500,0.0,3,14.4,1,1,1,85.7
37.2,21,588,23.8,2,11.9,0,1,3,62.5
57.3,22,1354,13.4,3,13.2,0,1,2,81.9
16.5,19,740,20.0,1,8.7,0,1,4,50.8
35.2,16,770,4.8,2,11.1,1,1,1,61.0
64.5,11,594,0.0,4,17.4,1,1,4,120.3
59.7,14,697,14.1,3,18.0,1,1,4,105.9
83.7,14,536,11.7,5,9.8,0,0,0,114.0
58.8,5,1204,8.1,3,12.3,1,1,0,84.2
48.9,3,363,12.7,3,14.1,1,1,2,100.5
68.5,7,184,34.1,4,14.7,1,1,0,97.7
78.3,12,423,18.7,4,16.2,1,0,1,95.5
65.7,5,389,20.4,4,14.1,0,0,2,98.3
82.5,3,422,18.8,5,17.2,1,0,4,133.4
70.0,22,572,23.8,4,15.3,1,0,4,114.6
75.8,10,424,10.5,4,14.4,0,1,0,108.7
23.9,15,566,0.0,1,12.8,1,0,4,64.6
66.5,14,424,10.5,4,13.4,1,1,0,103.2
46.4,19,839,18.5,3,13.0,0,1,3,82.6
54.2,19,2499,4.2,3,15.9,1,1,4,93.5
61.1,8,730,10.6,3,19.2,1,1,4,101.7
82.9,22,438,6.5,5,16.7,1,1,1,153.1
83.9,10,87,24.0,5,20.9,1,1,4,139.8
35.9,21,1985,18.0,2,11.0,0,0,0,41.8
66.6,11,759,17.2,4,14.8,0,1,2,89.9
67.7,3,562,17.0,4,13.5,0,0,2,97.8
39.9,20,91,11.7,2,9.3,0,0,1,62.6
24.5,1,584,13.6,1,9.2,1,1,0,36.1
18.8,20,692,2.5,1,10.1,0,0,3,53.9
69.6,2,426,0.0,4,14.9,1,0,1,113.6
49.8,6,213,13.2,3,13.7,1,0,3,94.7
84.0,16,202,14.6,5,16.0,1,1,2,124.9
48.1,24,2005,21.7,3,11.3,1,1,1,80.9
83.5,11,679,24.6,5,21.8,1,0,4,123.5
44.4,4,425,24.6,2,10.5,1,0,0,66.7
70.8,6,650,4.0,4,15.6,1,1,3,126.1
21.9,23,620,9.2,1,12.7,0,1,3,55.7
54.3,19,194,15.8,3,13.3,0,1,1,82.2
71.3,3,1152,32.3,4,16.9,1,1,1,93.2
79.8,10,552,23.8,4,13.8,0,0,0,95.1
72.8,7,685,21.0,4,16.1,1,0,4,114.7
18.6,5,1588,8.9,1,11.0,1,1,4,46.9
41.7,22,219,4.9,2,8.8,0,1,1,61.4
19.4,16,349,18.3,1,7.9,0,1,0,40.2
23.5,5,787,3.2,1,10.1,1,1,0,42.5
62.6,17,1137,10.1,3,17.5,1,1,0,86.6
65.2,11,396,11.1,4,15.9,1,0,4,113.5
69.4,2,413,24.7,4,12.0,1,0,4,112.2
75.7,12,966,9.2,4,14.6,0,1,0,97.1
67.0,5,2375,0.0,4,20.3,1,0,3,92.0
71.3,7,666,16.0,4,15.6,1,0,0,100.5
19.4,22,348,6.4,1,7.2,0,1,1,47.8
32.2,18,274,12.3,2,11.8,0,1,2,63.7
58.9,4,571,11.3,3,13.0,1,0,3,87.0
75.2,22,1103,9.8,4,15.7,1,1,4,126.7
16.3,15,2500,18.3,1,7.0,0,1,0,15.0
51.5,22,504,0.0,3,13.0,1,1,0,83.3
62.7,19,666,7.9,3,11.5,1,1,1,92.2
18.0,9,1794,17.5,1,7.4,1,1,1,33.5
43.7,14,778,7.1,2,14.4,1,1,4,84.6
77.8,14,734,0.0,4,15.9,1,0,3,122.7
62.3,18,1575,17.3,3,15.5,1,1,1,99.3
32.4,7,678,21.0,2,9.6,1,0,4,65.4
74.8,9,292,11.6,4,18.2,1,1,2,123.4
40.0,7,1371,0.0,2,9.6,0,1,2,63.3
74.9,8,169,17.6,4,19.8,1,1,2,116.8
36.6,5,1223,0.0,2,7.0,0,1,0,39.9
56.7,1,630,14.5,3,12.7,1,0,4,101.6
43.4,24,508,4.9,2,11.5,1,0,0,73.0
35.0,2,498,2.7,2,11.7,0,0,0,53.4
77.2,23,569,8.5,4,17.1,1,1,1,118.9
28.9,1,455,10.5,2,9.6,0,0,1,53.1
21.9,20,857,6.8,1,9.4,1,1,0,31.7
39.6,9,467,16.7,2,8.4,1,0,0,52.6
65.5,13,633,8.4,4,14.5,0,1,3,101.6
71.7,8,119,19.8,4,15.5,1,1,4,137.8
84.9,13,630,14.2,5,13.6,0,1,0,123.0
36.4,12,448,6.4,2,11.4,0,1,1,49.8
44.1,14,1164,5.1,2,11.2,1,1,2,64.7
25.4,10,523,0.0,1,10.5,0,0,4,59.5
55.7,14,1055,14.3,3,11.6,1,0,3,84.3
84.8,21,976,9.2,5,18.0,1,0,3,124.7
64.4,11,994,0.0,4,14.7,1,1,2,122.3
57.1,10,537,7.7,3,16.1,1,0,2,95.6
43.1,4,660,4.8,2,11.5,0,1,0,66.1
79.2,9,841,24.6,4,20.8,1,1,4,118.1
50.3,4,674,0.0,3,13.8,1,1,4,106.2
25.3,5,524,0.5,1,9.8,1,1,0,46.2
41.2,24,314,20.9,2,11.7,1,1,3,75.8
20.6,3,638,22.9,1,7.4,0,1,0,29.0
29.9,13,185,6.0,2,11.6,1,1,3,65.0
17.2,21,112,6.9,1,9.9,1,1,4,76.6
47.3,24,260,16.9,3,9.2,0,1,0,76.1
59.8,4,986,0.0,3,11.3,1,0,2,101.6
39.7,5,744,0.0,2,5.1,0,0,0,49.2
45.0,10,993,9.8,3,10.2,1,0,2,69.2
82.2,14,373,24.4,5,20.1,1,1,4,129.8
67.9,24,1243,8.5,4,11.0,0,1,0,97.1
53.3,6,202,12.8,3,9.0,0,0,1,81.0
35.6,5,268,21.1,2,15.4,1,0,4,70.0
77.9,7,1229,28.9,4,14.3,1,0,1,89.6
32.2,22,707,7.4,2,10.1,0,1,0,46.3
38.4,1,997,11.9,2,12.7,0,1,2,59.5
78.7,10,746,26.6,4,17.3,1,0,2,104.4
52.5,3,415,0.0,3,12.1,1,1,3,95.3
67.2,4,243,20.2,4,14.0,0,1,1,109.3
56.8,23,136,3.9,3,13.0,1,1,4,116.6
61.1,1,1892,12.8,3,17.4,0,0,2,87.8
36.7,9,164,10.1,2,8.8,1,1,1,66.7
32.7,23,1541,4.3,2,11.1,1,1,4,75.7
38.3,16,680,4.1,2,10.6,1,0,4,79.7
26.7,2,762,14.2,1,7.2,1,0,2,31.9
76.3,12,728,20.0,4,17.3,0,1,0,109.7
35.5,25,915,11.0,2,15.5,0,1,2,63.4
54.7,11,346,12.6,3,13.6,1,1,2,99.0
70.6,14,101,16.6,4,11.8,0,1,0,100.2
70.1,14,408,4.2,4,12.9,1,1,3,121.2
46.2,17,863,17.9,3,13.2,0,1,4,78.7
48.9,5,270,18.6,3,10.8,1,0,0,80.9
84.6,21,1264,32.8,5,17.5,1,1,3,123.6
62.5,25,577,9.0,3,14.6,1,1,0,97.9
72.2,4,250,8.3,4,16.7,1,0,3,129.0
78.3,21,702,18.2,4,17.9,1,1,2,125.5
70.3,21,853,18.6,4,14.6,1,1,0,105.0
28.8,19,895,7.7,2,9.6,0,1,4,57.5
54.8,10,1230,8.8,3,13.3,1,0,0,71.7
23.0,12,190,16.3,1,9.7,0,1,2,41.6
61.1,21,1231,5.4,3,14.6,0,1,0,90.3
81.9,4,1307,8.7,5,20.4,1,1,4,136.6
51.4,21,243,12.7,3,12.1,1,1,3,89.2
45.9,24,284,20.0,3,11.0,0,1,4,89.0
18.5,18,1031,7.2,1,6.6,0,0,2,26.1
82.2,9,469,0.0,5,13.7,0,0,2,127.8
23.1,14,1435,0.0,1,11.6,0,1,3,39.3
18.8,2,1700,1.9,1,10.4,0,1,3,44.2
33.0,24,250,1.5,2,14.0,0,1,4,86.6
20.5,9,341,10.8,1,7.7,0,0,0,45.6
47.4,2,677,2.5,3,14.6,1,1,3,96.8
51.6,20,99,6.4,3,15.1,1,1,0,91.4
37.6,17,139,5.8,2,11.7,0,1,1,77.5
19.5,16,311,8.5,1,10.6,0,1,4,48.9
23.7,2,2085,22.6,1,10.6,0,0,1,15.0
42.5,19,751,17.3,2,13.8,1,1,3,77.5
20.2,16,385,12.1,1,9.8,1,1,2,35.7
64.2,20,282,8.3,4,13.5,1,1,1,109.8
30.3,21,241,8.5,2,11.2,0,1,1,55.7
36.8,6,407,14.6,2,14.5,1,1,2,69.5
43.2,6,389,16.7,2,12.4,1,0,3,66.6
44.7,24,533,4.7,2,15.2,0,1,3,86.2
16.1,14,881,12.3,1,6.5,0,1,4,44.7
23.7,11,594,0.0,1,10.6,1,0,4,71.9
