순번,년도,기술분야,특허기술명,등록번호
19,2024,정보통신-국방 S/W-정보 처리,무인항공체계 임무 장비의 전송률을 제어하는 방법 및 그 장치,10-2631681
20,2024,플랫폼/구조-비행체구조-항공기체 구조,덕티드 팬 지상 시험장치,10-2631836
21,2024,탄약/에너지-추진체-추진제,연속 흐름 화학에 의한 BBMO의 합성 방법,10-2632488
22,2024,정보통신-전자전-전자재밍,수동형 레이더 재밍을 위한 재밍 대상 송신원 선정 장치 및 방법,"US 11,885,908"
23,2024,제어/전자-유도조종-임무계획,파편 낙하 안전 영역 산출 시스템 및 방법,10-2632708
24,2024,플랫폼/구조-생체-인간능력 증대,다자유도 움직임이 가능한 착용형 팔 지지장치,"US 11,883,956"
25,2024,정보통신-통신단말-통신 인터페이스/장치,광통신을 위한 광학 시스템 및 광정렬 방법,10-2633763
26,2024,화생방-해독-생물학 해독,세포 투과가 가능한 펩타이드 핵산 올리고머를 유효성분으로 포함하는 한탄바이러스 감염 질환 치료용 약학적 조성물,10-2633299
27,2024,정보통신-전자전-전자재밍,재밍 신호 생성 방법 및 시스템,10-2634432
28,2024,소재-스텔스재료-전파 스텔스재료,다 면저항을 갖는 전자파흡수체 및 설계 방법,10-2633849
29,2024,화생방-화생방검증/폐기-화생방폐기,이동형 화학 작용제 중화 장치 및 그 동작 방법,10-2635364
30,2024,정보통신-통신전송-모뎀,신호를 전송한느 전자 장치의 동작 방법 및 이를 지원하는 전자 장치,10-2635058
31,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,열전지용 전해질 및 이의 제조방법,10-2636657
32,2024,센서-레이더 센서-레이더 송수신,광집적회로 및 마이크로파 수신기,10-2636656
33,2024,탄약/에너지-탄두-탄두충전 에너지물질,수성 고분자 에멀젼을 사용한 압축형 복합화약의 제조 방법,EP 3611152
34,2024,탄약/에너지-탄두-탄두충전 에너지물질,고분자 에멀젼을 사용한 압축형 복합화약 제조방법 및 이에 의해 제조된 압축형 복합화약,GB 3611152
35,2024,탄약/에너지-탄두-탄두충전 에너지물질,고분자 에멀젼을 사용한 압축형 복합화약 제조방법 및 이에 의해 제조된 압축형 복합화약,FR 3611152
36,2024,탄약/에너지-탄두-탄두충전 에너지물질,고분자 에멀젼을 사용한 압축형 복합화약 제조방법 및 이에 의해 제조된 압축형 복합화약,DE 3611152
37,2024,탄약/에너지-탄두-탄두충전 에너지물질,고분자 에멀젼을 사용한 압축형 복합화약 제조방법 및 이에 의해 제조된 압축형 복합화약,CZ 3611152
38,2024,정보통신-사이버전-침입탐지/대응,펌웨어 에뮬레이션 방법 및 이를 위한 장치,10-2638058
39,2024,정보통신-국방M&S-시뮬레이션,전자 장치 및 그의 공중 교전 시뮬레이션 방법,10-2641494
40,2024,정보통신-전장상황인식-전장운용 인공지능,기계학습을 이용한 무인항공기의 안티탬퍼링 동작 시스템 설계 장치 및 방법,10-2641958
41,2024,소재-재료특성 분석 및 평가-재료특성 평가,충돌체 특성 시험 장치,10-2642062
42,2024,소재-스텔스재료-전파 스텔스재료,연속 탄화규소 섬유 제조방법,10-2642065
43,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,"몰리브데넘, 니켈 및 황을 포함하는 양자점 및 그 제조방법","US 11,912,917"
44,2024,기타-기타-기타,분리형 회로기판 어셈블리 및 이를 포함하는 분리형 발사체,10-2646368
45,2024,정보통신-통신전송-모뎀,네트워크 망 동기 방법 및 이를 수행하는 노드,10-2646758
46,2024,제어/전자-무인/자율-자율제어,전자 장치 및 그의 다중로봇 탐사영역 관리 방법,10-2649303
47,2024,화생방-화생방보호-화생방보호성능시험기법,복합적인 물질전달을 반영할 수 있는 풍동 시험 장치 및 풍동 시험 방법,10-2650694
48,2024,정보통신-통신전송-무선링크제어,전자 장치 및 그의 통신 방법,10-2651390
49,2024,정보통신-전자전-전자재밍,불법 무인 비행체에 대한 CRPA 무력화 장치 및 방법,"US 11,943,047"
50,2024,센서-EO/IR 센서-EO/IR 광학계,광학소자 형상오차 분석 방법,10-2653060
51,2024,센서-EO/IR 센서-EO/IR 방해/기만,재귀 반사체를 포함하는 비행체 및 이를 이용한 레이저 무기의 무력화 방법,10-2654938
52,2024,탄약/에너지-전원/전력 발생/공급-에너지 저장/운반,연료전지 시스템,10-2655968
53,2024,플랫폼/구조-비행체구조-유도무기기체 구조,비행체용 광학창 덮개 장치,10-2657505
54,2024,제어/전자-특수 제어/전자-지상체 제어/전자,케이블 외부 결합형 전류 필터,10-2660986
55,2024,제어/전자-사격제어-교전통제,"탄도탄 항적의 위치, 속도 및 공분산 특성을 활용한 교전 평가 기반의 탄도탄 요격 시스템, 방법, 컴퓨터 판독 가능한 기록 매체 및 컴퓨터 프로그램",10-2660732
56,2024,정보통신-네트워크 구성/관리-통신망 관리/운영,군용 네트워크 설비의 정전 복원 시 전원의 자동연결 방지장치,20-0497966
57,2024,센서-항법 센서-관성항법,"비행체의 플렉셔 데이터 학습 방법, 컴퓨터 판독 가능한 기록 매체, 컴퓨터 프로그램 및 장치, 이를 이용한 플렉셔 데이터 생성 방법, 컴퓨터 판독 가능한 기록 매체, 컴퓨터 프로그램 및 장치",10-2663016
58,2024,정보통신-전자전-재밍송신,잡음 신호 생성 장치 및 방법,"US 11,973,584"
59,2024,정보통신-국방 S/W-정보 처리,가상 이미지 데이터 기반의 학습 데이터 검증 장치 및 방법,10-2664201
60,2024,정보통신-국방M&S-모델링,항공기의 기동을 결정하는 방법 및 이를 위한 전자 장치,10-2664600
61,2024,정보통신-전자전-방향탐지,신호원의 위치 추정 방법 및 장치,"US 11,977,175"
62,2024,정보통신-사이버전-침입예방기술,사이버 공격에 의한 임무 체계 피해 산출 장치 및 방법,10-2665697
63,2024,센서-항법 센서-복합항법,"비행 경로 산출 방법, 비행 경로 산출 장치 및 상기 방법을 실행시키기 위하여 기록매체에 저장된 컴퓨터 프로그램",10-2666963
64,2024,추진-공기흡입추진-램제트엔진 추진,고온 전압력 측정 프로브,VN 40097
65,2024,정보통신-사이버전-침입예방기술,사이버 공격에 따른 피해 평가 방법 및 장치,10-2667343
66,2024,제어/전자-구동-구동제어,다중 상태 모드 기반의 모노펄스 위성 추적 방법 및 시스템,10-2667395
67,2024,정보통신-국방M&S-무기체계 효과도 분석,모델 기반 비통신 전자전 체계 설계 분석 시스템 및 그것의 제어 방법,"US 11,984,971"
68,2024,센서-특수센서-,타겟을 검출하는 방법 및 장치,10-2668739
69,2024,정보통신-전자전-전자재밍,수동형 레이더 재밍을 위한 재밍 대상 송신원 선정 장치 및 방법,10-2668966
70,2024,소재-특수재료-기타 특수재료,"전기전도성 폴리머 복합재, 그것의 제조 방법 및 3D 프린팅 방법",10-2669745
71,2024,센서-EO/IR 센서-EO/IR 방해/기만,적외선 영상탐색기 탑재 대함미사일의 교란을 위한 함정방어 교전 모의 장치 및 방법,10-2671895
72,2024,정보통신-상호운용성-체계/타체계 연동,군용 무인항공기의 탑재장비 고장 예측방법 및 장치,10-2671666
73,2024,정보통신-국방M&S-시뮬레이션,비행 전 무인 항공기 조종사의 정신적 워크로드를 확인하는 방법 및 이를 수행하는 장치,10-2673225
74,2024,센서-항법 센서-관성항법,통합항법장치 및 그 운용 방법,10-2673340
75,2024,제어/전자-구동-구동장치,구동기용 부하생성유닛 및 구동기용 부하모의장치,"US 12,000,754"
76,2024,플랫폼/구조-비행체구조-항공기체 구조,다양한 스테이터가 구비된 덕티드팬,10-2674318
77,2024,제어/전자-사격제어-교전통제,표적의 상태 정보를 추정하는 방법 및 이를 위한 전자 장치,10-2676164
78,2024,화생방-화생방탐지/식별/경보-화생방통합정보분석,복합 위험요소 3차원 시각화 시스템,10-2679340
79,2024,제어/전자-무인/자율-자율제어,소형 드론을 위한 지역 지도 원점 갱신 방법을 적용한 복셀 지도 작성 방법,"US 12,019,161"
80,2024,정보통신-통신전송-모뎀,지연시간 추정 방법 및 그 전자 장치,10-2680237
81,2024,제어/전자--,도파관 누설파 안테나,10-2680262
82,2024,플랫폼/구조-지상체구조-차량 구조,차량의 기준선 설정 시스템,10-2680614
83,2024,센서-소나 센서-음향신호처리,배열 소나 수동 탐지 장치 및 방법,10-2680622
84,2024,플랫폼/구조-지상체구조-차량 구조,방탄그릴을 갖는 군용 하이브리드 차량용 냉각 흡기덕트 구조,10-2680802
85,2024,화생방-제독-제독장비,생물작용제의 이동식 제독 장치 및 방법,10-2683243
86,2024,추진-공기흡입추진-가스터빈엔진 추진,저소음 터빈 설계 방법,10-2683613
87,2024,센서-SAR 센서-SAR 영상처리/분석,"가상 SAR 영상 생성 장치, 방법 및 컴퓨터 프로그램",10-2684532
88,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,"음극, 이를 포함하는 리튬 금속 전지 및 이의 제조방법",10-2684778
89,2024,센서-레이저 센서-레이저 광학계,기만코드시험용 광학시스템,10-2684551
90,2024,플랫폼/구조-탑재구조체-발사/회수체,파열식 돌출형 발사관 전방덮개,10-2684552
91,2024,탄약/에너지-탄두-탄두충전 에너지물질,구조 부재 파괴 후의 2차 폭풍파 전파 모델링을 위한 장치 및 그 방법,10-2685087
92,2024,센서-소나 센서-음향신호처리,전자 장치 및 그 해양 음원 거리 추정 방법,10-2685542
93,2024,추진-공기흡입추진-복합엔진 추진,초음속 유동의 유속 및 유동각 동시 측정 프로브,AU 2023200890
94,2024,정보통신-국방M&S-시뮬레이션,시험 시뮬레이션 장치 및 방법,10-2685544
95,2024,제어/전자-무인/자율-자율제어,착용로봇 이동형 안전보조장치,10-2685653
96,2024,화생방-제독-제독제,그람 양성 포자의 제독 방법,10-2685656
97,2024,소재-스텔스재료-전파 스텔스재료,전자파 흡수 복합재 및 그 제조방법,10-2686012
98,2024,센서-소나 센서-음향 대항,소나에 의한 탐지를 방해하기 위한 장치 및 방법,10-2686408
99,2024,추진-로켓추진-고체로켓엔진 추진,마찰력 및 누수량 최소화를 위한 초고온 추력 유량 작동기,10-2686556
100,2024,정보통신-전자전-정보탐지,다중측정행렬을 이용한 광대역 압축센싱 신호복원 장치 및 방법,10-2686920
101,2024,소재-특수재료-기타 특수재료,높은 비강성을 가지는 탄화규소 소결체 및 탄화규소 소결체 제조용 조성물,10-2686685
102,2024,정보통신-전자전-정보탐지,압축센싱 신호 처리 방법 및 그 장치,10-2687252
103,2024,추진-전기추진-전전기추진,소형 탄자 극초음속 가속 장치 및 방법,10-2687361
104,2024,센서-EO/IR 센서-EO/IR 영상/표적 처리,항공용 전자광학적외선 장비에 내장된 자동광축정렬장치 및 방법,10-2687344
105,2024,제어/전자-무인/자율-원격제어,비행체의 생존성 향상을 위한 데이터 처리 장치 및 방법,10-2688315
106,2024,센서-레이저 센서-레이저 송수신,각속도 제한을 이용한 레이저 회전 스캔 방법,10-2689477
107,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,"열전지용 양극, 이를 포함하는 열전지 및 그 제조방법",10-2689545
108,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,"열전지용 양극, 이를 포함하는 열전지 및 그 제조방법",10-2689546
109,2024,플랫폼/구조-탑재구조체-발사/회수체,날개 체결 시스템,10-2690848
110,2024,정보통신-전장상황인식-전장운용 인공지능,탐사 로봇을 제어하는 방법 및 이를 위한 전자 장치,10-2691383
111,2024,센서-레이더 센서-레이더 송수신,양자 레이더의 목표물 검출을 위한 제곱 호모다인 측정 이용 양자 수신기 및 그 측정 방법,"US 12,050,263"
112,2024,추진-공기흡입추진-가스터빈엔진 추진,항공기 배기가스 적외선 신호 감소 시스템,10-2691603
113,2024,플랫폼/구조-비행체구조-항공기체 구조,소형 드론용 유탄 지상 투하 장치,10-2692251
114,2024,제어/전자-구동-구동제어,브러시리스 모터에 기초하여 날개 제어를 수행하기 위한 유도탄 및 방법,10-2692621
115,2024,정보통신-통신단말-통신 인터페이스/장치,고 고도 플랫폼 스테이션에 대한 신경망 기반 송신 전력 제어 방법 및 장치,10-2692491
116,2024,정보통신-전자전-정보탐지,신경망 기반의 전자기 펄스 분류 방법,10-2692620
117,2024,기타-기타-기타,점화통제시스템 및 그의 동작방법,10-2692619
118,2024,정보통신-사이버전-인증/접근통제,"인증 장치, 인증 방법, 인증 시스템",10-2693230
119,2024,탄약/에너지-지향성 에너지-고에너지 레이저 발생,광섬유 내부 진행 모드들의 분율 및 위상을 추출하는 방법 및 장치,10-2693496
120,2024,제어/전자-무인/자율-자율제어,인공 지능 모델을 설정하는 전자 장치의 동작 방법 및 이를 지원하는 전자 장치,10-2694807
121,2024,플랫폼/구조-탑재구조체-기타 탑재구조체,장착물 진동 저감을 위한 항공기 탑재 인터페이스,10-2695358
122,2024,정보통신-전장상황인식-전장운용 인공지능,"객체 검출 방법 및 객체 검출 장치, 객체 검출을 위한 신경망을 학습시키는 방법",10-2696020
123,2024,정보통신-전자전-재밍송신,재머의 송신 전력 결정 방법 및 시스템,10-2696881
124,2024,제어/전자-유도조종-유도조종알고리듬,1차 시간지연 비행 시스템 동특성을 고려한 가속도명령제한 알고리즘을 이용한 유동적 가속도명령제한치 계산 방법 및 시스템,10-2696700
125,2024,플랫폼/구조-탑재구조체-화력장비,레이저 점화 장치와 포미창 청소 장치를 가지는 화포,10-2697154
126,2024,센서-레이더 센서-레이더 송수신,능동 위상 배열 레이더 시스템의 오차 보정 방법,10-2699097
127,2024,정보통신-국방 S/W-정보 처리,"비행체 간의 임무 비행을 위한 비행 통제 시스템의 비행 정보 제공 장치, 비행 정보 제공 방법",10-2699430
128,2024,센서-레이더 센서-레이더 통제/제어,각도와 각속도 측정의 정밀도를 높이기 위한 김발 유격 측정 장치,10-2700179
129,2024,정보통신-전장상황인식-전장운용 인공지능,항공 이미지로부터 표적을 검출하기 위한 딥러닝 모델의 학습용 가상 이미지를 생성하는 방법 및 장치,10-2701172
130,2024,추진-공기흡입추진-가스터빈엔진 추진,광학 시스템,10-2702372
131,2024,정보통신-통신교환-라우팅,"무선 애드혹 네트워크의 노드에서 수행되는 라우팅 방법, 이를 위한 라우팅 장치",10-2702366
132,2024,제어/전자-특수 제어/전자-지상체 제어/전자,비행체 추적 장치의 추적성 보장 장치 및 방법 및 컴퓨터 프로그램,10-2704199
133,2024,기타-기타-기타,원자증기셀 제작 장치 및 방법,10-2704376
134,2024,정보통신-전자전-전자재밍,다채널 실시간 신호발생 장치 및 방법,10-2704377
135,2024,정보통신-네트워크 구성/관리-데이터링크 메시지/프로토콜,"항공기 데이터링크에 대한 그리드형 네트워크의 지상 기지국들을 포함하는 항공기를 제어하기 위한 통신시스템, 항공기 데이터링크 주파수 설정 방법 및 항공기 제어 핸드오버 방법",10-2705041
136,2024,추진-로켓추진-혼합형로켓엔진 추진,파이로 고정분리 장치,10-2704893
137,2024,화생방-화생방탐지/식별/경보-화생방접촉탐지,분광 시스템,"US 12,085,447"
138,2024,화생방-화생방탐지/식별/경보-화생방접촉탐지,균일한 금 나노입자 형성과 표면 결함을 동시에 발생시키는 산화아연 합성 기술,10-2707671
139,2024,센서-레이저 센서-레이저 신호처리,모드 오류 기반의 신호 처리 방법 및 이를 이용한 이미징 장치,10-2708769
140,2024,센서-항법 센서-위성항법,고유값 분해를 이용한 기만신호 제거 장치 및 방법,10-2708768
141,2024,정보통신-네트워크 구성/관리-통신망 관리/운영,트래픽 제어 방법 및 이를 위한 전자 장치,10-2708637
142,2024,센서-SAR 센서-SAR 신호처리/영상형성,스트립맵 SAR 원시데이터로부터 스포트라이트 SAR 영상을 형성하는 방법,10-2709981
143,2024,정보통신-전장상황인식-전장예측(상황/위협 평가/예측),비행체의 비선형 기동 식별 기반의 교전 정보 제공 방법 및 장치,10-2711217
144,2024,정보통신-전장상황인식-전장예측(상황/위협 평가/예측),비행체의 비선형 기동 식별 기반의 탄착점 예측 방법 및 장치,10-2711175
145,2024,센서-EO/IR 센서-EO/IR 표적신호 측정/분석,표적 모사 장치 및 능동형 카메라 성능 시험 시스템,10-2711716
146,2024,센서-레이더 센서-레이더 신호처리,일반적인 스푸핑 공격을 받는 양자 보안 단 픽셀 이미징에서의 신뢰 정보 복원 장치 및 방법,10-2712803
147,2024,화생방-화생방탐지/식별/경보-화생방통합정보분석,인공지능 기반 화생방 오염원점 추적 시스템 및 그 제어방법,10-2712838
148,2024,소재-특수재료-기타 특수재료,금속산화물을 포함한 적층형 이온성 고분자 금속 복합체 유연구동기 제조방법,10-2712371
149,2024,기타-기타-기타,추력 벡터 제어가 가능한 드론 및 이의 제어 방법,10-2713075
150,2024,정보통신-상호운용성-체계/타체계 연동,군용 무인항공기의 탑재장비 상태 분석방법 및 장치,10-2713501
151,2024,플랫폼/구조-지상체구조-지상체 형상,"항공기 제어를 위한 방법, 장치 및 시스템",10-2713479
152,2024,플랫폼/구조-탑재구조체-화력장비,레이저 다이오드 뇌관과 이를 이용하여 전기 격발 신호로 추진장약을 점화하는 화포,10-2714180
153,2024,화생방-해독-생물학 해독,사스-코로나바이러스-2 델타 감염증 치료용 항체 mRNA 및 이를 포함한 조성물,10-2714027
154,2024,화생방-해독-생물학 해독,사스-코로나바이러스-2 델타 감염증 치료용 항체 mRNA 및 이를 포함한 조성물,10-2714014
155,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,"열전지용 박막 양극, 이를 포함하는 열전지 및 이의 제조방법",10-2715028
156,2024,제어/전자-무인/자율-인식/처리,단계적 신원 인증 방법,10-2715027
157,2024,추진-로켓추진-혼합형로켓엔진 추진,단계적 유량 조절 시스템,10-2714411
158,2024,제어/전자-특수 제어/전자-위성체 제어/전자,태양풍을 고려하여 메모리의 부호화율을 변경하는 방법 및 장치,10-2715024
159,2024,제어/전자-구동-구동제어,작업 보조 장치,10-2715714
160,2024,소재-구조재료-경량 구조재료,섬유강화 복합재료 및 이의 제조방법,10-2716639
161,2024,기타-기타-기타,MICROWAVE-OPTIC CONVERSION SYSTEM OF QUANTUM SIGNALS EMPLOYING 3-DIMENSIONAL MICROWAVE RESONATOR AND CRYSTAL OSCILLATOR,"12,112,237"
162,2024,추진-로켓추진-고체로켓엔진 추진,압력 이탈식 노즐마개 및 조립 방법,10-2717328
163,2024,제어/전자-무인/자율-자율제어,데이터를 저장하는 장치 및 그 방법,10-2717645
164,2024,기타-기타-기타,위치보정이 가능한 소/중 구경 총포용 사격통제장치 및 위치보정 방법,10-2717924
165,2024,센서-레이저 센서-레이저 표적신호 측정 및 분석,협대역 자발 방출 기반의 유사 열광원 고스트 이미징 및 거리 탐지 장치 및 방법,10-2718909
166,2024,추진-공기흡입추진-가스터빈엔진 추진,중력식 균질 분말 공급 장치 및 이를 이용한 침식 시험 장치,10-2718922
167,2024,센서-EO/IR 센서-EO/IR 수신/분석,항공용 전자광학장비의 표적좌표 획득 장치 및 방법,10-2718908
168,2024,탄약/에너지-전원/전력 발생/공급-에너지 생산/변환,음극 복합체 및 이를 포함하는 이차전지,10-2720189
169,2024,기타-기타-기타,유도탄 전달정렬 검증을 위한 체계 점검용 장치 및 이의 제어 방법,10-2720441
170,2024,화생방-화생방탐지/식별/경보-화생방통합정보분석,복합 위험요소 3차원 시각화 시스템,"US 12,125,160"
171,2024,정보통신-네트워크 구성/관리-통신망 구성,군집 저궤도 위성 시스템의 궤도 특성 인지기반 토폴로지 생성 방법 및 장치,10-2722160
172,2024,플랫폼/구조-탑재구조체-기타 탑재구조체,발사체 후단 보호 장치,10-2722953
173,2024,센서-EO/IR 센서-EO/IR 방해/기만,반도체 레이저를 이용한 적외선 위협체 기만 장치 및 방법,10-2723567
174,2024,탄약/에너지-지향성 에너지-고에너지 레이저 발생,자유공간 광통신 장치 및 방법,10-2723528
175,2024,정보통신-통신전송-모뎀,광신호를 수신하는 전자 장치의 동작 방법 및 이를 지원하는 전자 장치,10-2724409
176,2024,센서-특수센서-전기장센서 및 신호처리,"CORE ELECTRODES BASED ON MULTIPLE ROD, AND UNDERWATER ELECTRIC FIELD SENSOR ELECTRODES AND UNDERWATER ELECTRIC FIELD
SENSOR HAVING THE SAME","12,130,402"
177,2024,플랫폼/구조-비행체구조-유도무기기체 구조,분리 가능한 항공기 장착용 인터페이스 시스템 및 그 동작 방법,10-2727036
178,2024,추진-로켓추진-고체로켓엔진 추진,변위흡수 및 기밀 기능을 갖춘 노즐덮개,10-2728070
179,2024,기타-기타-기타,기폭 출력 확인 장치 및 방법,10-2735758
180,2024,플랫폼/구조-복합체구조-복합체구조,에어 홀 씰링 부재를 갖는 파이로볼트형 분리 장치,10-2729104
181,2024,센서-SAR 센서-SAR 안테나,위성용 영상 레이다의 거리방향 모호성 개선을 위한 앙각방향 빔 패턴 마스크 설계 방법,10-2729789
182,2024,정보통신-네트워크 구성/관리-통신망 관리/운영,"타임슬롯 관리 장치에서 수행되는 전술 데이터 링크의 타임 슬롯 관리 방법, 이를 위한 타임슬롯 관리 장치",10-2730190
183,2024,기타-기타-기타,드론을 이용한 폭탄 투발 시스템 및 방법,10-2731109
184,2024,추진-특수추진-기타 추진,"해수 흡입 추진기관, 그것을 포함하는 수중 운동체 및 해수 흡입 추진기관의 유량 제어 방법",10-2731108
185,2024,플랫폼/구조-비행체구조-항공기체 구조,고온 환경에 적용되는 부품의 열지연 구조체 및 그 제조방법,10-2730826
186,2024,화생방-화생방탐지/식별/경보-화생방통합정보분석,인공지능 기반 화생방 위협예측 시스템 및 방법,10-2731490
187,2024,탄약/에너지-전원/전력 발생/공급-에너지 저장/운반,유압실린더를 적용한 연료전지 잔류가스 처리기 및 처리방법,10-2731771
188,2024,정보통신-통신단말-통신안테나,원통형 안테나로 급전되는 평면형 반사 배열 안테나,10-2732570
189,2024,정보통신-네트워크 구성/관리-통신망 구성,"항공기 데이터링크에 대한 그리드형 네트워크의 지상 기지국들을 포함하는 항공기를 제어하기 위한 통신 시스템, 항공기 데이터링크 주파수 설정 방법 및 항공기 제어 핸드오버 방법",10-2732861
190,2024,정보통신-전장상황인식-전장예측(상황/위협 평가/예측),"탄도탄 발사 계획 예측 장치, 방법 및 컴퓨터 프로그램",10-2733009
191,2024,제어/전자-특수 제어/전자-,PHASE STABILIZATION SYSTEM AND PHASE STABILIZATION METHOD USING THE SAME,"US 12,149,043"
192,2024,센서-레이저 센서-레이저 광학계,동축 라이다 장치,10-2734705
193,2024,플랫폼/구조-비행체구조-항공기체 구조,소형 드론,10-2734468
194,2024,정보통신-전장상황인식-임무/작전 계획/통제,전자 장치 및 그의 위성 제어 방법,10-2734568
195,2024,제어/전자-구동-구동장치,회전력 보강 구동부를 포함하는 김발,10-2735245
196,2024,제어/전자-무인/자율-자율제어,전자 장치 및 그의 주변 환경 인식을 위한 파라미터 설정 방법,10-2735167
197,2024,정보통신-국방 S/W-정보 처리,복합 무인 시스템의 통합 연동 검증 장치,10-2735005
198,2024,플랫폼/구조-생체-인간시스템 인터페이스,착용형 장치 서포터,10-2735244
199,2024,센서-소나 센서-음향신호처리,수동소나 협대역 신호 분리 장치 및 방법,10-2735757
200,2024,플랫폼/구조-생존성/스텔스-피탐/피격성 감소,낙뢰보호 기능을 갖는 전파흡수구조체,10-2736122
201,2024,제어/전자-유도조종-유도조종알고리듬,비행체의 횡방향 기동성 향상 방법,10-2736817
202,2024,추진-공기흡입추진-램제트엔진 추진,복합재 구조체 및 그 제조방법,10-2737997
203,2024,정보통신-전자전-전자재밍,합성개구면레이다(SAR) 신호 특성 추정 방법 및 시스템,10-2739249
204,2024,탄약/에너지-비살상무력화-전자장비/시설 무력화,도파관 전력 측정 장치 및 방법,10-2739245
205,2024,추진-로켓추진-혼합형로켓엔진 추진,탄성력 기반의 초기 고정 방식이 적용된 파이로 볼트 분리장치,10-2738793
206,2024,탄약/에너지-화약응용장치-화약응용장치,3D 프린팅 제작 소진성 파이로테크닉 점화기,10-2740492
207,2024,정보통신-전자전-전자재밍,통신망에 대한 간섭 효과를 시험하는 방법 및 이를 지원하는 전자 장치,10-2740508
208,2024,탄약/에너지-지향성 에너지-고에너지 레이저 발생,다채널 결맞음 결합빔 구현 시스템 및 방법,10-2741052
209,2024,제어/전자-무인/자율-인식/처리,지형 인지 방법 및 장치,10-2743382
210,2024,정보통신-통신단말-통신안테나,"비행체 통제를 위한 지상 통신 장치, 동작 방법 및 컴퓨터 프로그램",10-2743720
211,2024,센서-레이더 센서-레이더 안테나,레이다의 모노펄스 비교기 교체를 고려한 모노펄스 기울기 보정 방법 및 장치,10-2744375
212,2024,기타-기타-기타,항공기 유도탄의 탑재비행 진동시험 장치 및 진동시험 방법,10-2745009
213,2024,추진-공기흡입추진-가스터빈엔진 추진,구동 모터 보호 기구 및 이를 갖는 로터 디스크 구동 장치,10-2746045
214,2024,제어/전자-구동-구동장치,김발 시스템의 관성모멘트 계산 방법,10-2747070
215,2024,추진-공기흡입추진-가스터빈엔진 추진,코팅 마모 시험 장치 및 이를 갖는 코팅 마모 시험 시스템,10-2747166
216,2024,플랫폼/구조-탑재구조체-기타 탑재구조체,패시브 액츄에이터를 포함하는 발사 장치,10-2748028
217,2024,정보통신-전장상황인식-정보 공유/가시화,네트워크 토폴로지 시각화 장치 및 방법,10-2748054
218,2024,기타-기타-기타,모듈형 조립식 스마트 유탄,10-2749470
219,2024,정보통신-통신단말-통신안테나,ANTENNA APPARATUS,"US 12,183,975"
