user_id,watch_ratio,weekly_minutes,login_days_7d,sessions_7d,assignment_submit_rate,quiz_avg,forum_posts_30d,device_main,signup_channel,paid,signup_date,last_active_date,completed
U855772,0.8278628161532319,119.12988277022468,6,12,0.8538874630667752,65.39012319402732,1,mobile,search,Y,2025-01-31,2025-02-04,1
U505346,0.5062452694968722,60.44152664683771,4,8,0.20528221353553694,73.64737474584787,1,pc,search,Y,2025-10-27,2026-02-12,0
U550316,0.7328656880340144,60.24381509037334,4,12,0.3212359103938948,77.66133987975516,0,MOBILE,sns,1,2025-06-09,2025-10-26,1
U433717,0.7621952627015147,54.988079994957964,5,13,0.5422707425252008,88.85654680979928,2,mobile,ad,False,2025-11-08,2026-01-09,1
U264294,0.5746807442388705,4439.9183564495515,3,12,0.7278001435544015,75.37370459358459,2,pc,ad,0,2025-08-21,2025-11-26,1
U934087,0.6863066902004485,169.75240964710432,3,9,0.5128323443886128,65.35742378564385,0,MOBILE,search,Y,2025-03-27,2025-08-03,1
U803409,0.6551202625097705,77.69524734023759,6,7,0.732803274738558,57.845440086590585,1,pc,search,0,2025-03-18,2025-07-03,1
U679477,0.5228032931212173,82.47596099250644,6,7,0.8322561290704411,76.12281633129243,0,mobile,ad,1,2025-06-16,2025-06-20,1
U462172,0.8844358043253113,197.91991862335055,1,18,0.8492639710836751,70.35680906939027,1,pc,ad,0,2025-02-04,2025-05-20,1
U840484,0.8763360088092784,231.70885913608754,6,5,0.5601432651920012,70.81955858380155,0,mobile,ad,Y,2025-08-01,2025-09-11,1
U590885,0.3131711601251849,87.87761786956611,2,13,0.5287707432322591,75.67541324007337,2,mobile,sns,0,2025-06-17,2025-10-28,0
U499072,25%,101.85383702048192,1,11,0.7718177488586444,79.27144713742622,1,mobile,sns,1,2025-02-20,2025-04-08,0
U505413,0.31483918803090033,179.96344641046224,7,9,0.2859030487394752,,2,pc,referral,0,2025-07-10,2026-01-03,0
U304514,51%,62.08035352628628,1,11,0.3632482079163768,69.61274655457419,1,pc,sns,True,2025-11-05,2025-11-26,0
U182922,0.48839297241233204,30.906267290318915,1,15,,60.78065474339195,1, mobile,ad,0,2025-11-27,2026-05-07,1
U599125,0.2325082451304253,345.25685812352583,2,6,0.6051288759541347,63.4210132357355,0,mobile,ad,N,2025-06-02,2025-06-08,0
U899099,0.7306384255392161,194.34722295112678,3,7,0.3159485440629389,83.87563755175601,1,mobile,search,0,2025-01-27,2025-05-30,0
U157435,0.5165384236730257,135.96945082634602,1,8,0.6964156970204918,66.0697926624459,0,mobile,search,0,2025-11-11,2026-01-13,1
U872461,0.9801740278117163,102.83600043530502,1,6,0.41039168486345484,53.15540090587554,1, mobile,sns,,2025-07-20,2025-08-24,1
U844867,0.9745245771478587,196.43598750795869,3,9,0.2952237010769817,88.23404554117126,2,pc,ad,N,2025-10-04,2025-11-12,1
U349083,0.7136104126637588,154.23258150580642,1,9,0.18775280008428127,58.80670110876853,1,mobile,referral,True,2025-01-17,2025-01-23,0
U668497,0.4941711327715083,36.87930839062233,1,10,0.7295333005919817,72.49345945329831,0,pc,search,True,2025-04-18,2025-05-12,0
U248706,0.5862985474538471,48.18996095152881,7,12,0.3296169243300435,미응시,4,mobile,search,Y,2025-04-14,2025-06-23,0
U782278,0.2290545433267762,184.54267378602887,4,9,0.4281824280801614,72.0450572575289,1,pc,sns,N,2025-09-18,2025-10-16,0
U730469,0.7289719908185625,80.64810801394951,0,10,0.10574685597688568,37.306069460038515,2,mobile,search,0,2025-09-05,2026-02-27,0
U419073,0.5508456058819756,205.20809113951813,0,13,0.42837800980656676,77.46683195249418,5,mobile,sns,False,2025-09-27,2026-02-23,1
U161127,0.47005774263710093,114.25352112290452,6,12,0.19750461442146963,90.57048550175577,2,pc,sns,0,2025-05-25,2025-08-18,0
U973627,0.8310743667613862,188.99776049262542,2,12,0.5911382584323513,,0,mobile,sns,Y,2025-04-24,2025-05-11,1
U501118,0.5604586279535423,26.967315422774437,1,10,0.3045073306615498,42.26408425206345,3,pc,sns,,2025-03-10,2025-09-04,0
U903808,21%,64.459433006928,5,7,0.5021342058097858,100.0,0,pc,search,N,2025-04-03,2025-08-12,0
U710126,52%,69.63887744797015,6,10,0.05717257195366262,53.438078272919675,1,TABLET,search,N,2025-03-01,2025-04-03,0
U800544,0.4547068840866493,133.9956985428819,3,7,0.6783474680430676,56.90212756497637,1,pc,sns,False,2025-10-27,2025-11-05,0
U783908,0.31410577127981265,150.3179757527854,5,14,0.34822500471366746,82.94628630952208,2,MOBILE,search,0,2025-09-04,2025-12-25,0
U275174,38%,257.11550596265204,3,4,0.20701739842937697,78.33978031249244,1,mobile,search,0,2025-09-04,2025-09-11,0
U427515,0.8115684496986268,184.58391405904763,0,5,0.9648362720135493,73.12469147335732,2,pc,search,0,2025-11-19,2026-03-10,1
U520048,0.17039280008961244,70.80188491236599,6,14,0.3872082972852331,,1,mobile,ad,0,2025-09-27,2025-12-16,0
U548011,85%,95.40303176457685,7,6,0.321264361138855,90.63199419521743,0,mobile,search,0,2025-04-27,2025-10-03,1
U139423,0.832175680266512,109.0823188070215,7,17,,71.44943809745703,2,mobile,referral,1,2025-04-24,2025-07-02,1
U591912,0.4893075568647035,68.88033384735047,0,8,0.5135032410210164,50.07856186525626,2,pc,search,1,2025-02-16,2025-05-08,1
U238860,36%,108.12399530047063,4,12,0.6387124451457263,89.25219929969849,0,mobile,ad,False,2025-09-20,2025-12-27,0
U769037,0.2606025713850711,215.9837435405417,4,12,0.4531126205798702,75.06998990154045,1,MOBILE,ad,False,2025-11-15,2026-05-11,1
U714743,0.9375400121866854,19.291712721024293,0,11,0.7707464636784213,87.61009390203156,4,tablet,search,0,2025-09-18,2026-01-23,1
U930274,0.2966616065809781,138.68342979469685,7,3,0.5129281482966341,80.01568072838154,1,pc,search,1,2025-06-21,2025-10-20,0
U770285,0.2327557095201102,37.97851554150577,0,5,0.6978560283574611,100.0,1,mobile,sns,N,2025-05-02,2025-06-27,0
U429978,0.5700846871318475,132.41995214338584,2,10,0.21074052498662393,67.66041619490882,1,mobile,ad,1,2025-06-09,2025-09-04,0
U970757,0.9054849859434096,153.55142781098903,7,10,,72.22530537849707,0,pc,ad,0,2025-04-09,2025-05-14,1
U469764,0.8438194696594662,143.66135627644212,4,5,0.5424314750929843,82.07762901543708,1,mobile,ad,1,2025-03-02,2025-05-11,1
U393242,28%,224.81328702539176,5,12,0.23287626265523967,67.74690799870609,2,mobile,ad,N,2025-06-07,2025-11-02,0
U914981,0.45493893667632407,161.79459987722254,3,8,0.44348765392273376,83.23692792362408,3,pc,sns,0,2025-03-28,2025-04-15,0
U433413,0.13267012114828258,118.90587389431862,6,12,,30.73621707617255,1,mobile,referral,0,2025-09-27,2025-10-26,0
U168708,0.24813175214920327,241.03031994857434,0,7,0.6013371997727449,,3,MOBILE,sns,0,2025-11-26,2026-03-12,0
U522599,0.5955891894392803,6024.826741350261,5,7,0.1269507663452817,70.5581054386696,0,mobile,sns,0,2025-03-12,2025-08-03,0
U816111,0.5717147725216369,139.2036577920822,0,5,0.5680517886991523,70.05098701116607,3,mobile,ad,1,2025-01-03,2025-06-28,0
U270524,0.10746103354461663,34.18151594947028,1,8,0.16286906193931117,59.72302272088176,2,mobile,referral,1,2025-11-15,2026-03-01,0
U516646,0.5708252797558172,122.82521787608721,4,7,0.28894119028366433,84.68571973964819,1,mobile,search,1,2025-04-17,2025-08-13,1
U216929,0.2965017280099688,132.0338924351789,3,9,0.5263997289231832,64.93777246719289,2, tablet,sns,Y,2025-04-03,2025-05-25,0
U717829,0.2557531775300672,235.6788975770566,1,19,0.8190812807316383,74.8038416010078,0,pc,search,False,2025-11-08,2026-01-21,1
U528133,0.521896349267363,132.23835028373128,6,11,0.4567562588699783,71.47970904399904,2,mobile,search,Y,2025-11-02,2025-12-28,1
U397176,0.45893501606686016,52.678608471962136,2,5,0.22562249728338368,79.00509890995316,2,mobile,ad,1,2025-07-31,2025-08-19,0
U304218,91%,141.30999081965498,6,7,0.638720496862595,92.03345118465441,3,mobile,ad,N,2025-02-26,2025-05-04,1
U608049,0.5152018784000111,130.69201909247067,0,11,0.5668066094994525,74.73145397298714,2, mobile,search,True,2025-09-14,2025-10-23,0
U702831,0.3025795917005369,186.93570008732016,1,12,0.1888079477153244,83.7795583693409,2,mobile,search,1,2025-09-27,2026-01-11,0
U946274,0.7382600268475656,137.4731789778017,2,13,0.3396119477379539,74.02818240575422,2,mobile,referral,True,2025-06-11,2025-10-25,1
U493436,0.5077338933838987,63.43425692843863,4,3,,64.91588528502915,1,mobile,ad,1,2025-07-24,2026-01-17,1
U244619,0.6950300370431521,65.42814293842528,3,11,0.6180125182978929,70.01819448816082,2, mobile,search,False,2025-07-15,2025-12-21,1
U849409,0.40111073496356653,168.99311855847176,1,7,0.13493245935597264,68.03040666008063,2,mobile,search,Y,2025-08-29,2025-10-25,0
U666787,0.6918689540043252,136.40509202592884,4,8,0.734875892409692,79.95426984687349,1,pc,ad,0,2025-07-07,2025-12-23,1
U730237,0.15093673803208596,116.34033001562484,7,7,0.15066646525581892,73.49312859176858,0, tablet,search,1,2025-12-21,2026-06-09,0
U187503,0.6455895181072181,131.32305932782447,1,6,0.7081346586736454,60.88029584413198,1, pc,search,1,2025-01-13,2025-04-14,0
U381129,0.44928600724344486,61.37557825045984,2,11,0.6827708563187369,68.89252830241516,2,tablet,search,,2025-01-20,2025-02-26,0
U791058,0.2141166308057761,285.93286612628015,3,11,0.7271257898784751,50.63716621293479,2,mobile,ad,,2025-02-25,2025-07-15,0
U849032,0.534439878834839,89.75799626620284,5,11,0.08617726501860351,69.41555535889415,1,mobile,ad,1,2025-02-24,2025-03-16,0
U491694,0.16937860314106137,106.20630218140244,1,12,0.4432474721687939,72.01828215065949,2,pc,search,N,2025-07-01,2025-09-04,0
U824287,0.45991992137067744,169.9109131469356,1,11,0.13333932447552957,97.31827480540315,1,mobile,sns,N,2025-01-29,2025-05-05,0
U857521,0.6237798820510797,47.35515523223065,1,5,0.6427274148318177,90.87832885182266,1,mobile,sns,0,2025-03-11,2025-08-14,0
U448730,0.7733622043205385,119.99139888652273,4,12,0.24645701188659136,57.52295563295063,0,pc,ad,1,2025-07-09,2026-01-01,1
U908277,0.6597529447829675,402.27249469765246,0,8,0.517099452911873,74.82477187064491,0,pc,sns,N,2025-11-24,2026-04-21,1
U359495,0.3576444304512508,59.91472207467857,5,14,0.7554752589243613,75.07034439770914,2,PC,referral,,2025-10-20,2026-01-15,1
U315601,0.4492955785829129,133.79631537924217,3,10,0.18768911311659392,미응시,2,mobile,ad,1,2025-03-20,2025-04-04,0
U714245,0.15001222803277656,157.9800245959658,2,12,0.4960710821942605,69.66636065166297,0,pc,ad,0,2025-01-20,2025-06-13,0
U673085,0.466759624862709,165.41038699575847,6,7,0.6467673510219795,67.04470359390925,1,mobile,ad,Y,2025-09-26,2026-02-28,1
U225777,0.5398744539434805,5611.117525820194,6,9,0.48283617294074355,98.21791881636628,2,MOBILE,ad,0,2025-10-11,2026-01-04,1
U849462,0.8369334584229808,49.12017320635747,6,5,0.32550085345216506,66.17342045192478,1, pc,sns,N,2025-12-05,2026-03-15,1
U279917,0.5125497562904752,188.3064918951699,7,11,0.08482592391338632,76.77312001038976,2, mobile,sns,1,2025-06-07,2025-11-07,1
U824408,0.3149389314046124,36.1731304568123,1,7,0.33904187888851045,36.59357812779166,1,pc,search,N,2025-01-22,2025-02-14,0
U106626,0.6229847842519197,105.12913467751028,6,6,0.07658069900668422,83.52995736759799,4,pc,search,1,2025-12-09,2026-05-05,1
U817157,0.44999471838338717,98.59970762564106,1,8,0.5818600908669014,88.5795673015341,2,pc,sns,0,2025-04-15,2025-07-16,0
U808231,69%,52.067240423787936,2,11,0.772868245542613,57.271579592591294,3,MOBILE,ad,1,2025-05-20,2025-09-21,1
U802327,0.45348373437986444,81.2454070308038,4,10,0.37540448574212576,64.83358549876213,0,mobile,ad,0,2025-05-31,2025-07-04,0
U698365,0.5274087981361616,162.19544787399383,5,10,0.562249185324466,78.32104928176932,1,pc,ad,Y,2025-12-25,2026-04-15,1
U152472,45%,105.11035818464514,4,7,0.22258147284375998,72.27244972177425,0,mobile,sns,0,2025-05-12,2025-06-29,0
U734648,0.5308636442853902,41.15825403967346,4,6,0.27040476206749403,78.52917426726913,1,MOBILE,sns,Y,2025-07-22,2025-10-23,0
U349409,0.4834213553491272,175.52685226826978,3,2,0.2626380724722114,미응시,2,mobile,sns,0,2025-07-03,2025-10-06,0
U802655,0.6532277579018615,292.37657712380417,4,13,0.35634449168742327,98.0857154187213,0,mobile,sns,,2025-12-27,2026-06-18,1
U600081,0.17835962508303124,45.572806629714876,3,4,0.2637185325177374,62.623638150053864,0,tablet,ad,N,2025-12-13,2026-04-13,0
U513023,0.476623422529907,110.53643267348266,3,6,0.37370035075543956,100.0,1,mobile,search,N,2025-08-19,2025-11-27,0
U555045,0.5171186516476722,113.04188234678253,4,11,,,2,pc,sns,Y,2025-02-08,2025-04-21,0
U611866,0.8954430424534598,44.73086884078727,4,10,0.6957322271222913,83.64961402338051,1,MOBILE,referral,0,2025-05-07,2025-07-07,1
U133536,0.7414390989725406,227.97587887872658,2,5,0.2994652292854781,57.4333131189978,0,mobile,search,1,2025-08-31,2025-12-27,1
U225817,0.4348269263400732,114.5286816567296,1,8,0.8617025003315875,84.73555337172962,1,mobile,ad,1,2025-10-20,2026-03-28,1
U320932,0.881776097976473,191.99398779390887,2,16,0.11645862817309306,80.45513802952861,0,pc,referral,0,2025-10-01,2026-01-12,1
U203076,0.5725261722475072,138.7403066638882,3,11,0.6807667884948427,42.32545436257903,1,mobile,search,1,2025-06-27,2025-10-24,1
U495651,72%,223.17574023797113,1,9,0.26007223772791266,52.335595698902864,4,mobile,search,0,2025-09-02,2025-10-31,1
U701561,0.7627958378606979,2658.563968003162,1,12,0.360065329151258,77.00679096981696,0, mobile,ad,Y,2025-04-23,2025-08-02,0
U688985,0.8998475812287743,5707.01429883184,7,12,0.5241744637727598,70.13380389667867,2,mobile,ad,0,2025-08-20,2025-12-01,1
U523986,0.5651164837657479,155.0873040648287,2,8,0.816641831562968,64.76930506628837,2,mobile,search,N,2025-06-24,2025-10-25,1
U869571,0.8489684242922821,67.14445228489356,5,15,0.17847583811767573,87.10528872237647,0,mobile,search,1,2025-09-06,2025-11-02,1
U608711,0.3262831758127305,163.95440737038922,1,2,,59.62708996212945,1,mobile,ad,1,2025-11-14,2026-01-16,0
U171277,0.7839541102625697,59.83770290914336,7,10,0.4476933173589164,65.62662679777517,4,pc,ad,1,2025-10-26,2025-12-30,1
U788498,0.6290667658635665,108.20194248692125,1,12,,62.94158296776262,1,MOBILE,search,,2025-09-24,2025-12-09,1
U617139,0.6008919280556658,95.48253460758319,3,18,,79.1423696103162,0,PC,search,0,2025-10-07,2025-11-28,0
U671245,0.41018272883971896,131.8559428819392,6,8,0.04808616744999361,47.927585202505874,1,pc,search,0,2025-03-05,2025-04-09,0
U608835,85%,243.81405081185076,1,5,0.7405663409201574,65.03259407409433,0,pc,ad,0,2025-03-09,2025-06-07,1
U598220,0.6605742934271538,79.46886594043423,4,6,0.5011981802082173,47.881286910722395,3,pc,sns,Y,2025-11-02,2026-04-05,1
U393242,0.6044957448304648,185.03801049843233,6,12,0.6753697362442684,미응시,1,mobile,referral,0,2025-07-16,2025-07-21,1
U603285,0.5126375689782903,227.33631211318868,0,11,0.8275337980521328,82.12268613660528,0,mobile,search,Y,2025-06-07,2025-10-05,1
U815420,0.10336262475004598,181.82183994424105,0,9,0.3691727863341765,82.37255093345955,2,mobile,sns,N,2025-08-31,2026-01-25,0
U373554,0.7844322165188912,131.28114679288598,6,9,0.6286659214858417,61.81362334125542,0,mobile,sns,0,2025-01-31,2025-06-29,1
U642553,0.2727301875321174,127.36145532679322,2,11,0.37094698150118555,미응시,1,PC,ad,1,2025-03-02,2025-08-03,0
U127736,82%,76.31610555751483,7,5,0.39023358326580004,69.40771208857086,0,MOBILE,referral,N,2025-02-23,2025-04-21,0
U412748,0.7760892429244771,36.669468669111644,7,14,0.8439354683050954,91.05518962309772,0,mobile,search,0,2025-07-26,2025-08-13,1
U493045,0.6321667817953306,117.04310299175475,7,8,,,1,mobile,search,0,2025-01-25,2025-07-24,0
U984463,0.2586206733232951,238.52965652267238,7,11,0.5587250410088473,30.3773369280349,3,pc,search,1,2025-01-17,2025-05-23,0
U293125,0.22633767996421025,257.3290287107567,6,7,0.3821513291576368,84.52553412195363,1,mobile,ad,0,2025-09-04,2025-11-07,0
U348893,0.5793714768798818,42.53373317925873,3,11,0.22081929991841084,65.57261121065275,1,mobile,sns,0,2025-09-25,2026-02-26,0
U467675,58%,252.91476711098056,7,9,0.752178529209448,68.16120066990793,1,mobile,sns,0,2025-04-04,2025-06-07,1
U993398,0.148365020344285,159.2845509717874,2,14,0.7664451636387979,76.70292861136701,1,pc,ad,1,2025-09-09,2026-01-22,0
U868061,0.5371143756191226,148.92163198985895,4,9,0.36660891666530676,52.054089216953685,2,PC,search,False,2025-02-05,2025-07-28,0
U131223,0.17919475570464055,237.5270691131949,0,8,0.3955058238499629,73.04515004830108,1,mobile,referral,True,2025-05-30,2025-10-15,0
U310545,0.3697889602252123,200.02380570651016,7,13,0.6198481286072699,79.48295792839724,1,pc,sns,N,2025-05-14,2025-09-09,0
U839506,0.5817643300585142,59.14947249571488,4,7,0.6485885850004421,77.09689865248296,2,mobile,sns,1,2025-05-07,2025-06-10,0
U152472,0.16716824730789348,70.68061005849242,7,13,0.39932357191424567,63.614962485532104,3,mobile,ad,1,2025-11-12,2026-04-29,1
U870102,0.2853233091934114,33.26906962379172,2,8,0.5849642560390284,85.88704748929743,1,MOBILE,search,1,2025-01-29,2025-04-16,0
U353245,0.4263647986066675,145.04576640420447,2,11,0.26619786964956205,58.03505671055678,1,mobile,ad,N,2025-08-17,2025-12-07,0
U925886,0.6143940093142294,64.0476389534624,4,10,0.4685258222820256,63.24269714670332,3, pc,sns,0,2025-04-10,2025-07-29,0
U364234,49%,85.03119421172009,6,13,0.4860336116837413,70.09597990261997,0,mobile,sns,0,2025-06-26,2025-08-09,0
U490884,0.24560305418706935,221.63739663609874,4,11,0.24139057236383263,76.13655702980589,3,pc,referral,0,2025-03-15,2025-07-02,0
U695724,0.5249444856994165,156.44146015789215,6,11,0.26663642822082206,67.45639354301612,0,mobile,ad,N,2025-09-24,2025-12-03,0
U213652,0.6140470301114193,158.86351334791388,1,12,0.3479839587642779,89.20021658602231,2,mobile,referral,0,2025-01-23,2025-03-27,0
U910558,33%,349.21478185729916,6,10,0.7137749181737651,76.13400699041613,1,mobile,referral,N,2025-01-28,2025-07-02,0
U554513,54%,9.512573487136546,5,17,0.6992095431978347,73.05921149179815,0,PC,sns,0,2025-04-30,2025-09-07,0
U805507,0.9153024989347356,66.46870569631481,7,10,0.697454542840263,75.6419062277244,0,mobile,sns,N,2025-11-18,2026-02-14,1
U996495,27%,95.14940573415332,0,15,0.6848753437572527,82.2606830334638,2,mobile,search,0,2025-01-09,2025-01-12,0
U697881,71%,69.44875685322934,3,8,0.3170458901031017,75.37084850397424,2,MOBILE,search,1,2025-03-06,2025-07-12,0
U468267,0.9456740489947185,191.08544051177654,0,16,0.8336204478425024,46.66676433591286,0,mobile,ad,0,2025-06-29,2025-11-09,1
U465747,0.30893916399601645,102.24799982224759,3,11,0.04278495771788063,87.25312409640419,0,mobile,ad,1,2025-01-08,2025-02-07,0
U476162,0.2912015685268649,54.80288952179103,6,13,0.6546926328396808,73.67545291306537,0,pc,ad,0,2025-07-14,2025-11-28,0
U832617,77%,137.70447830055247,5,8,0.46447305967369146,81.58793930110446,2,mobile,sns,1,2025-05-12,2025-07-23,1
U389093,0.3156751355405905,151.52199435540055,6,12,0.15931202047249374,66.31679063553577,1,mobile,search,0,2025-08-24,2026-01-03,0
U250275,0.2963795282424399,58.009514567569134,5,9,0.36333525323403804,46.42596835478328,0,pc,ad,0,2025-01-22,2025-06-22,0
U400861,0.3756718038098878,105.3787953345719,7,14,0.4858377538549943,40.09526532175929,1,pc,ad,Y,2025-03-06,2025-07-10,0
U120440,82%,153.6216228647495,7,14,0.16643144753025615,58.77885094899122,0,PC,sns,0,2025-03-02,2025-08-19,1
U195528,0.2947625011484985,228.7399817030509,4,11,0.39617301828633705,79.24211931600571,1, mobile,referral,0,2025-09-26,2025-10-09,0
U181042,0.1847410654595871,74.32007013749083,7,13,0.22373203620579402,90.17047336949989,1,TABLET,search,False,2025-09-26,2025-11-23,0
U794396,0.45167291927074904,163.5863152831559,0,10,0.5896074585857228,76.22759715386285,1,mobile,sns,1,2025-02-12,2025-02-22,0
U750122,87%,81.71128899645694,5,8,0.5981657314679824,57.268816268761704,2,mobile,referral,1,2025-05-28,2025-06-28,1
U727093,0.6179223512414548,122.8717070049955,4,7,0.10770604337351378,미응시,1,mobile,sns,0,2025-09-14,2025-11-20,0
U515689,56%,61.64366931899487,7,8,,91.05096338111647,1,mobile,sns,1,2025-01-03,2025-01-07,0
U745351,0.8915137787698397,160.70879483966834,4,8,0.5503345815285058,53.6490678124183,3,mobile,search,0,2025-02-06,2025-04-18,1
U245144,0.40606752619590664,207.10979928434026,1,9,0.0535297072567553,100.0,1, tablet,referral,0,2025-08-23,2025-09-15,0
U910558,0.6482156985816516,108.25311780148488,5,6,0.5673889721986912,98.26452536154481,2, mobile,search,0,2025-07-25,2025-08-14,1
U550939,30%,99.88907738279379,7,13,0.7227503057423822,100.0,1,mobile,sns,0,2025-09-15,2026-02-13,1
U944245,0.5849282331235407,94.0991158288011,0,14,0.7821608611856025,77.32982082478222,0,MOBILE,search,1,2025-06-19,2025-10-31,1
U237080,0.8165107277882045,50.517842984303584,0,7,0.5406849481262104,67.21865255362107,1,mobile,ad,1,2025-11-25,2026-02-15,1
U547596,0.5226891514086401,179.2480056571544,5,12,0.19303111344312202,76.9888477261215,1,pc,sns,1,2025-02-15,2025-05-28,0
U726687,0.5638671551899462,225.44364289173072,4,11,0.5115890138916905,84.7201893147272,1,tablet,sns,True,2025-02-26,2025-04-19,1
U824408,0.3206324092678695,71.57143414234973,4,11,0.5219029429677383,62.88913731893553,0,pc,sns,0,2025-08-20,2025-11-15,0
U501540,0.2863338441727009,132.900071422817,0,9,0.5962600842485112,56.58315467043374,1,tablet,referral,1,2025-11-09,2026-03-29,0
U249592,0.28018235399931957,158.17972984402607,4,8,0.8159033029543669,68.02488908357071,1,mobile,sns,0,2025-01-09,2025-04-13,0
U442918,0.8780346235328328,80.80609358363597,4,7,0.4548755727203215,61.187691114546865,1,mobile,search,Y,2025-09-15,2026-02-05,1
U314889,0.41214761305970143,256.73092129301114,6,12,0.546290317141351,89.37241070110504,2,mobile,referral,0,2025-12-21,2026-03-18,0
U371360,48%,134.36348473682014,3,16,0.4344942256263378,63.36998680778959,1,pc,ad,,2025-07-25,2025-09-28,0
U715329,0.6969163283033988,42.49375015638879,2,19,0.43190274928393296,73.3389805323628,1,mobile,ad,1,2025-10-30,2026-04-09,0
U667253,0.4119235433034951,213.40131977243203,0,17,0.54976453883458,,0,mobile,search,N,2025-04-06,2025-09-16,0
U646476,0.41661066848594763,110.8983146311366,4,7,0.26091623323234886,89.91779234484176,2,mobile,search,N,2025-10-21,2025-12-01,0
U425630,0.46446038924305466,89.81392671655748,5,9,0.6860719830578658,74.9198299459661,2,mobile,sns,0,2025-06-16,2025-09-07,0
U963722,0.5336443154785532,171.51500724113305,2,13,0.5270567331443401,77.38014731258552,1,pc,sns,0,2025-04-19,2025-09-05,0
U178884,68%,82.56646302532452,5,13,0.4880940717186029,,2,pc,ad,1,2025-03-14,2025-04-30,0
U408331,0.2853649394094987,247.67877330319084,7,9,0.20635046202670992,86.32279305693466,2,MOBILE,sns,False,2025-11-07,2026-03-22,1
U206205,0.9179912050526935,217.64248997737508,1,15,0.16798982001261034,89.68932539216173,0,mobile,search,0,2025-09-19,2026-02-28,1
U405049,0.6124658430355697,266.8050206400515,4,10,0.6694790587152226,45.81505698613232,0, mobile,referral,0,2025-10-15,2025-11-26,1
U965706,38%,338.3857779454317,5,11,0.8219213210202806,96.68124148749871,2,mobile,search,0,2025-09-14,2025-10-11,1
U429636,0.8972767556556441,4581.778956288884,0,10,0.5397158044664383,미응시,0,mobile,search,0,2025-04-04,2025-09-21,1
U917721,0.7751709452423795,117.22919552882452,1,9,0.903759631580468,80.32483243389383,1, mobile,sns,,2025-03-11,2025-09-07,1
U545558,84%,80.47516310997086,3,17,0.6912578654805966,73.08586414742243,0,MOBILE,search,1,2025-08-24,2026-01-26,1
U729735,0.9756146350581979,165.6638917630359,1,9,0.19363087281431873,71.15473815445193,1,pc,ad,1,2025-04-02,2025-07-21,1
U511675,0.7657206766042742,333.18577611422387,2,10,0.47347024101229385,69.1087483041239,2, pc,ad,N,2025-08-24,2025-09-08,1
U339282,0.5874370786435702,50.781846397845236,1,9,0.3285135446916206,58.10411335167022,1,mobile,ad,N,2025-11-25,2026-05-09,1
U787805,0.7202837018625337,141.09710662667013,7,13,0.5326692454148981,79.33359214907169,2,pc,search,N,2025-09-30,2025-11-04,1
