income_monthly,dti,credit_util,delinq_12m,credit_history_years,job_stability,recent_hard_inquiry,default
968.9,0.263,0.609,1,6.55,0.858,0,0
824.1,0.407,0.161,1,12.02,0.556,0,0
238.3,0.777,0.464,1,9.91,0.653,2,1
319.7,0.685,0.474,1,4.84,0.418,1,1
1093.5,0.15,0.848,2,2.95,0.127,1,0
786.8,0.364,0.683,0,15.13,0.505,1,0
159.7,0.89,0.895,0,18.01,0.417,1,0
256.5,0.729,0.959,1,8.98,0.438,2,1
846.7,0.466,1.017,1,6.54,0.172,0,1
155.3,0.775,0.781,1,2.24,0.687,3,1
318.8,0.744,0.319,2,14.87,0.855,1,1
726.2,0.407,0.15,0,8.24,0.938,1,0
876.5,0.29,0.98,1,5.42,0.581,3,0
834.6,0.465,0.481,0,12.25,0.341,1,0
385.5,0.74,0.52,0,1.85,0.764,1,0
897.8,0.264,0.263,0,2.72,0.482,1,0
399.1,0.563,1.025,0,3.74,0.624,0,0
491.7,0.555,0.595,1,9.69,0.377,1,1
933.8,0.498,0.8,1,7.64,0.321,1,1
832.1,0.446,0.455,1,10.51,0.587,0,0
1041.7,0.146,0.907,2,14.2,0.669,0,0
840.5,0.376,0.264,4,10.78,0.562,0,1
746.7,0.411,0.139,1,22.08,0.69,1,0
248.4,0.583,0.509,0,14.17,0.736,2,1
536.1,0.537,0.285,1,6.06,0.499,1,0
428.5,0.576,0.507,2,4.27,0.722,1,1
406.2,0.58,0.64,1,6.21,0.7,2,0
1171.7,0.169,0.319,0,11.04,0.512,2,0
562.8,0.68,0.287,0,4.66,0.833,1,0
1086.6,0.218,0.473,0,11.26,0.217,0,0
812.7,0.405,0.524,0,10.38,0.391,1,0
984.6,0.303,0.43,0,2.91,0.699,1,0
677.8,0.422,0.678,1,13.99,0.893,0,0
755.7,0.439,0.745,0,8.75,0.53,0,0
667.1,0.484,0.563,1,21.38,0.564,0,0
355.0,0.652,0.362,0,6.57,0.332,2,0
908.6,0.264,0.813,1,5.22,0.716,2,0
444.8,0.575,0.278,1,2.57,0.593,3,1
175.5,0.815,0.458,1,2.53,0.711,2,0
827.7,0.374,0.269,1,12.88,0.595,1,0
336.0,0.67,0.268,1,19.98,0.629,0,0
1137.5,0.244,0.117,2,6.14,0.516,1,0
1151.6,0.262,0.222,0,5.83,0.527,1,0
1110.6,0.298,0.363,1,7.03,0.654,0,0
538.7,0.529,0.682,0,14.65,0.584,1,0
166.2,0.653,0.431,2,2.93,0.393,1,1
1124.7,0.113,0.197,0,7.97,0.358,0,0
599.6,0.616,0.573,0,13.08,0.281,0,0
1165.0,0.29,0.238,0,9.6,0.322,2,1
1161.8,0.28,0.458,3,0.18,0.441,3,1
1045.7,0.358,0.395,1,10.82,0.658,1,0
459.2,0.572,0.42,0,9.67,0.27,2,0
554.4,0.475,0.427,0,16.57,0.336,2,0
1043.7,0.18,0.769,1,18.94,0.455,2,0
482.8,0.467,0.494,0,16.02,0.306,2,0
328.0,0.779,0.335,1,7.06,0.332,2,1
734.6,0.393,0.3,0,1.34,0.407,3,0
1133.0,0.336,0.591,1,5.8,0.329,0,0
880.8,0.345,0.768,1,6.89,0.754,1,0
748.6,0.367,0.104,0,19.81,0.287,2,0
252.0,0.589,0.251,1,3.52,0.49,1,1
795.8,0.351,0.438,0,1.91,0.108,2,0
1189.6,0.342,0.199,1,4.69,0.524,2,0
297.1,0.566,0.431,2,3.69,0.768,4,1
694.2,0.675,0.525,0,1.72,0.088,1,1
1071.2,0.179,0.653,1,6.25,0.491,1,0
927.8,0.414,0.583,2,7.1,0.724,4,0
881.9,0.349,0.5,1,1.62,0.687,2,0
887.6,0.329,0.868,0,5.19,0.188,0,0
527.5,0.425,0.22,0,3.49,0.387,2,0
458.3,0.579,0.824,0,7.28,0.466,0,0
999.8,0.185,0.607,1,7.83,0.199,1,0
1000.6,0.132,0.209,1,3.49,0.347,2,0
1060.4,0.281,0.331,1,13.91,0.452,0,0
1108.9,0.179,0.757,0,6.78,0.528,4,0
686.9,0.636,0.677,0,3.64,0.406,3,1
676.6,0.573,0.334,0,1.51,0.279,2,0
988.2,0.477,0.383,0,8.14,0.131,0,0
832.5,0.322,0.319,1,9.65,0.56,1,0
887.1,0.374,0.628,2,4.47,0.565,1,1
985.6,0.05,0.366,2,7.45,0.728,3,0
1084.5,0.228,0.718,1,18.94,0.168,2,0
504.9,0.574,0.459,2,12.45,0.366,1,0
544.4,0.559,1.013,2,0.59,0.638,1,1
248.7,0.696,0.493,0,3.6,0.691,1,1
757.2,0.437,0.402,1,6.01,0.861,1,0
187.7,0.461,0.531,0,7.07,0.103,1,1
638.9,0.518,0.352,0,7.58,0.697,1,0
719.8,0.498,0.58,4,9.22,0.608,0,0
450.9,0.727,0.787,0,6.17,0.832,1,1
770.4,0.46,0.415,0,6.76,0.212,1,1
182.0,0.723,0.37,0,12.9,0.28,1,1
189.2,0.842,0.34,0,8.26,0.518,2,0
1013.7,0.058,0.717,0,2.33,0.348,2,0
528.2,0.5,0.44,0,7.24,0.806,2,0
283.4,0.605,0.42,0,6.02,0.703,0,0
698.4,0.458,0.27,0,0.91,0.544,0,0
958.5,0.103,0.268,0,7.53,0.814,2,0
376.6,0.764,0.124,3,2.64,0.46,1,1
804.0,0.38,0.58,0,13.03,0.617,1,0
239.6,0.737,0.369,1,9.12,0.373,1,0
